            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
    0.00610317    0.00610317             0             0             0             0    0.00444444             0     0.0533333          0.04    -0.0133333   0.000805926
    0.00610317    0.00610317             0             0             0             0    0.00444444             0     0.0533333          0.04    -0.0133333   0.000805926
    0.00610317    0.00610317             0             0             0             0    0.00444444             0     0.0533333          0.04    -0.0133333   0.000805926
   0.000610317   0.000610317             0             0             0             0   0.000444444             0    0.00533333         0.004   -0.00133333   8.05926e-06
   0.000610317   0.000610317             0             0             0             0   0.000444444             0    0.00533333         0.004   -0.00133333   8.05926e-06
   0.000610317   0.000610317             0             0             0             0   0.000444444             0    0.00533333         0.004   -0.00133333   8.05926e-06
   6.10317e-07   6.10317e-07             0             0             0             0   4.44444e-07             0   5.33333e-06         4e-06  -1.33333e-06   8.05926e-12
   6.10317e-07   6.10317e-07             0             0             0             0   4.44444e-07             0   5.33333e-06         4e-06  -1.33333e-06   8.05926e-12
   6.10317e-07             0             0   6.10317e-07             0   3.72487e-13             0   4.44444e-07   5.33333e-06         4e-06  -1.33333e-06   8.05926e-12
    0.00610317             0             0    0.00610317             0   3.72487e-05             0    0.00444444     0.0533333          0.04    -0.0133333   0.000805926
      0.490133      0.325611   3.69172e-16      0.366344      0.383041      0.134208      0.222408             0        2.6689       2.00167     -0.667224       42.3951
      0.490133      0.325611   3.69172e-16      0.366344      0.383041      0.134208      0.222408             0        2.6689       2.00167     -0.667224       42.3951
      0.490133      0.325611   3.69172e-16      0.366344      0.383041      0.134208      0.222408             0        2.6689       2.00167     -0.667224       42.3951
      0.490133      0.325611   3.69172e-16      0.366344      0.383041      0.134208      0.222408             0        2.6689       2.00167     -0.667224       42.3951
      0.490133      0.325611   3.69172e-16      0.366344      0.383041      0.134208      0.222408             0        2.6689       2.00167     -0.667224       42.3951
     0.0051256     0.0051256   1.23995e-19             0   4.71446e-19   1.53747e-38    0.00299628             0     0.0442229     0.0152786    -0.0289443    0.00101248
   4.58247e-05   4.58247e-05             0             0             0             0  -2.67878e-05             0   0.000395368   0.000136596  -0.000258772   8.09274e-08
   2.39414e-09   2.39414e-09             0             0             0             0   1.39955e-09             0   2.06563e-08   7.13656e-09  -1.35197e-08   2.20899e-16
   5.94138e-12   5.94138e-12             0             0             0             0  -3.47317e-12             0   5.12611e-11   1.77103e-11  -3.35508e-11   1.36041e-21
   2.11513e-17   2.11513e-17             0             0             0             0             0             0   5.12318e-16   2.24024e-17  -4.89915e-16   5.57802e-32
