            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0264685     0.0264685   6.17742e-35             0    1.4954e-34   3.81606e-69             0             0   1.33057e-17     4.597e-18  -8.70869e-18      0.199982
     0.0264685     0.0264685   6.17742e-35             0    1.4954e-34   3.81606e-69             0             0   1.33057e-17     4.597e-18  -8.70869e-18      0.199982
     0.0253965     0.0253965   8.00924e-34             0   8.01888e-34   6.41479e-67             0             0   2.94494e-18   1.01745e-18  -1.92749e-18      0.184111
     0.0253993     0.0253993             0             0             0             0             0             0   1.23408e-19   4.26364e-20  -8.07715e-20      0.184153
     0.0180029     0.0180029   1.93044e-36             0   4.67311e-36   3.72662e-72             0             0   5.85737e-19   2.02367e-19   -3.8337e-19      0.092516
     0.0192834     0.0192834    3.2037e-33             0   3.20756e-33   1.02637e-65             0             0   3.96421e-19    1.3696e-19  -2.59461e-19      0.106145
     0.0189756     0.0189756   1.02518e-31    2.9125e-37   1.02642e-31     1.051e-62             0             0   1.31189e-19   4.53247e-20  -8.58643e-20      0.102784
     0.0264685     0.0264685   6.17742e-35             0    1.4954e-34   3.81606e-69             0             0   1.33057e-17     4.597e-18  -8.70869e-18      0.199982
     0.0253959     0.0253959             0             0             0             0             0             0   2.69457e-18    9.3095e-19  -1.76362e-18      0.184103
     0.0253987     0.0253987             0             0             0             0             0             0   1.10356e-19   3.81269e-20  -7.22287e-20      0.184144
     0.0209358     0.0209358   1.72005e-35             0   3.88965e-35   2.95858e-70             0             0   2.36449e-18   8.16912e-19  -1.54758e-18      0.125116
     0.0195747     0.0195747   2.89965e-31             0   2.90314e-31   8.40799e-62             0             0   1.55794e-18   5.38257e-19  -1.01969e-18      0.109376
     0.0190241     0.0190241             0             0             0             0             0             0    9.0084e-19   3.11233e-19  -5.89608e-19       0.10331
     0.0185567     0.0185567   2.11477e-34   1.07066e-34   2.36895e-34   5.61858e-68             0             0   6.82834e-17   2.35913e-17  -4.46921e-17     0.0982958
      0.018566      0.018566   3.83876e-32    1.5934e-32    4.1519e-32    1.7275e-63             0             0   9.78722e-19    3.3814e-19  -6.40582e-19     0.0983947
     0.0187053     0.0187053   8.63931e-28   3.17939e-28   9.23214e-28   8.47461e-55             0             0   1.91599e-19    6.6196e-20  -1.25403e-19     0.0998763
     0.0187152     0.0187152    4.5224e-23   1.84953e-23   4.91427e-23   2.38728e-45             0             0   4.90299e-20   1.69394e-20  -3.20905e-20     0.0999819
     0.0187152     0.0187152    4.5224e-23   1.84953e-23   4.91427e-23   2.38728e-45             0             0   4.90299e-20   1.69394e-20  -3.20905e-20     0.0999819
     0.0264685     0.0264685   6.17742e-35             0    1.4954e-34   3.81606e-69             0             0   1.33057e-17     4.597e-18  -8.70869e-18      0.199982
     0.0228951     0.0228951   7.72178e-36             0   1.86924e-35   5.96259e-71             0             0   1.57649e-18   5.44664e-19  -1.03183e-18      0.149629
     0.0190562     0.0190562   3.28058e-30             0   3.28453e-30   1.07622e-59             0             0   3.57102e-19   1.23376e-19  -2.33726e-19      0.103659
     0.0190562     0.0190562   3.28058e-30             0   3.28453e-30   1.07622e-59             0             0   3.57102e-19   1.23376e-19  -2.33726e-19      0.103659
