            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
       5.42313       3.83473             0       3.83473             0       14.7052       2.79253      -2.79253       47.3908       35.5431      -11.8477       636.334
       1.91737       1.91737             0             0             0             0       1.39626             0       16.7552       12.5664      -4.18879       79.5417
       2.71157       1.91737             0       1.91737             0        3.6763       1.39626       1.39626       23.6954       17.7715      -5.92384       159.083
       2.71157       1.91737             0       1.91737             0        3.6763       1.39626       1.39626       23.6954       17.7715      -5.92384       159.083
       2.71157       1.91737    5.6646e-17       1.91737   0.000352004        3.6763       1.39626       1.39626       23.6954       17.7715      -5.92385       159.084
       1.91737       1.91737             0             0             0             0       1.39626             0       16.7552       12.5664      -4.18879       79.5417
       1.91739       1.91739             0             0             0             0       1.39628             0       16.7554       12.5665      -4.18884       79.5437
       1.91737       1.91737             0             0             0             0       1.39626             0       16.7552       12.5664      -4.18879       79.5417
       1.91737       1.91737             0             0             0             0       1.39626             0       16.7552       12.5664      -4.18879       79.5417
      0.863118      0.863118   3.64749e-17             0   1.20325e-16   1.33042e-33      0.628539             0       7.54247       5.65685      -1.88562       16.1185
      0.863118      0.863118   3.64749e-17             0   1.20325e-16   1.33042e-33      0.628539             0       7.54247       5.65685      -1.88562       16.1185
      0.863118      0.863118   3.64749e-17             0   1.20325e-16   1.33042e-33      0.628539             0       7.54247       5.65685      -1.88562       16.1185
      0.863118      0.863118   3.64749e-17             0   1.20325e-16   1.33042e-33      0.628539             0       7.54247       5.65685      -1.88562       16.1185
      0.863118      0.863118   3.64749e-17             0   1.20325e-16   1.33042e-33      0.628539             0       7.54247       5.65685      -1.88562       16.1185
      0.863118      0.863118   3.64749e-17             0   1.20325e-16   1.33042e-33      0.628539             0       7.54247       5.65685      -1.88562       16.1185
      0.863118      0.863118   3.64749e-17             0   1.20325e-16   1.33042e-33      0.628539             0       7.54247       5.65685      -1.88562       16.1185
      0.863118      0.863118   3.64749e-17             0   1.20325e-16   1.33042e-33      0.628539             0       7.54247       5.65685      -1.88562       16.1185
      0.863118      0.863118   3.64749e-17             0   1.20325e-16   1.33042e-33      0.628539             0       7.54247       5.65685      -1.88562       16.1185
