                      %P                     obs                       s                guesserr                   error     directory
                  0.0999               139.17268                       0                       0           8.3309893e-15  ./initial-2/
                     0.1               139.43796                       0                       0           9.0155565e-14  ./initial-1/
                  0.1001                139.7035                       0                       0            8.296412e-15  ./initial-0/
              0.10466324               152.10084               0.1020869           1.5889902e-07           7.3268931e-15   search-0/
              0.10906695                164.5848              0.20186159           5.3971336e-07           1.3615421e-14   search-1/
              0.11332806               177.15093              0.30154756           6.8389933e-07           1.8633243e-14   search-2/
               0.1174633               189.80354              0.40126606           5.5604027e-07           1.0671355e-14   search-3/
               0.1214824               202.53293              0.50101232           4.5857453e-07           9.3420179e-16   search-4/
              0.12539397               215.33093              0.60078261           3.8266596e-07           8.0630367e-15   search-5/
              0.12920566               228.19056              0.70057386           3.2256035e-07           4.8728758e-15   search-6/
              0.13292429               241.10581              0.80038348             2.74379e-07           3.3963727e-15   search-7/
              0.13655597               254.07149              0.90020926           2.3530002e-07           7.2185073e-14   search-8/
              0.14010621               267.08309               1.0000493            2.032955e-07           4.2630718e-14   search-9/
              0.14357997               280.13665               1.0999021           1.7683442e-07           2.5128373e-14   search-10/
              0.14698175               293.22868                1.199766           1.5477131e-07           1.5263827e-14   search-11/
              0.15031564               306.35612               1.2996401           1.3623351e-07           9.1730345e-15   search-12/
              0.15358536               319.51623               1.3995232             1.20543e-07           2.6141234e-15   search-13/
              0.15679433               332.70658               1.4994144           1.0717671e-07           4.8586094e-15   search-14/
              0.15994567                 345.925                1.599313           9.5719775e-08           2.7581871e-15   search-15/
              0.16304225               359.16952               1.6992182           8.5842673e-08           1.0784747e-15   search-16/
              0.16608673               372.43839               1.7991294           7.7283713e-08           7.3030837e-16   search-17/
              0.16908156               385.73001                1.899046            6.983009e-08           1.5709068e-16   search-18/
              0.17202899               399.04294               1.9989677           6.3308365e-08           7.7773984e-17   search-19/
              0.17493114               412.37587               2.0988939           5.7578043e-08           3.8707123e-16   search-20/
              0.17778996                425.7276               2.1988244           5.2521979e-08           3.3223917e-16   search-21/
              0.18060727               439.09702               2.2987586           4.8044515e-08            2.086509e-16   search-22/
              0.18338478               452.48315               2.3986965           4.4064298e-08           2.7298362e-16   search-23/
              0.18612407               465.88506               2.4986376           4.0514745e-08           2.2848633e-16   search-24/
              0.18882663               479.30189               2.5985817           3.7338589e-08           2.2336573e-16   search-25/
              0.19149386               492.73287               2.6985286           3.4488617e-08           9.2583085e-17   search-26/
              0.19412708               506.17726               2.7984781           3.1922902e-08           1.4985979e-16   search-27/
               0.1967275               519.63441               2.8984301           2.9607705e-08           6.4463682e-14   search-28/
