      #(P)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
  0.0999      0.161019      0.161019   1.63231e-17             0   1.90448e-17   2.66445e-34      0.054837             0         4.713      0.551316      -4.16168       6.48845
     0.1      0.161077      0.161077   2.24219e-17             0   2.51025e-17   5.02743e-34     0.0548569             0       4.71472      0.551517       -4.1632       6.49318
  0.1001      0.161136      0.161136   5.28971e-18             0   6.29778e-18   2.79811e-35     0.0548769             0       4.71643      0.551718      -4.16471       6.49791
0.104663      0.163773      0.163773    2.4812e-17   2.22033e-46   2.80749e-17   6.15634e-34      0.055775             0       4.79362      0.560747      -4.23287       6.71233
0.109067      0.166251      0.166251   6.67175e-18   1.47788e-46   8.61135e-18   4.45123e-35     0.0566189             0       4.86615      0.569231      -4.29692       6.91699
0.113328      0.168591      0.168591   1.67213e-17   4.18925e-49    1.9533e-17   2.79603e-34     0.0574157             0       4.93463      0.577243      -4.35739       7.11306
0.117463      0.170811      0.170811   2.52255e-17    2.3542e-51     2.847e-17   6.36327e-34     0.0581717             0       4.99961      0.584843      -4.41477        7.3016
0.121482      0.172923      0.172923   2.42308e-17   2.79158e-59   2.76749e-17    5.8713e-34     0.0588912             0       5.06144      0.592076      -4.46937       7.48333
0.125394      0.174939      0.174939   6.82239e-18    1.1982e-61   8.92571e-18    4.6545e-35     0.0595778             0       5.12045      0.598979      -4.52147       7.65884
0.129206      0.176868      0.176868   1.67103e-17   1.19777e-45   1.95173e-17   2.79235e-34     0.0602346             0       5.17691      0.605583      -4.57132       7.82865
0.132924      0.178717      0.178717   2.48879e-17   1.21158e-54   2.81415e-17   6.19406e-34     0.0608645             0       5.23104      0.611915      -4.61912       7.99322
0.136556      0.180494      0.180494   2.16466e-17   9.43253e-45   2.52885e-17   4.68575e-34     0.0614696             0       5.28304      0.617999      -4.66504       8.15295
0.140106      0.182204      0.182204   2.61995e-17   1.30721e-47   2.96505e-17   6.86413e-34      0.062052             0        5.3331      0.623855      -4.70925       8.30819
 0.14358      0.183853      0.183853   5.25832e-18   5.41187e-54   6.34392e-18   2.76499e-35     0.0626136             0       5.38137      0.629501      -4.75187       8.45926
0.146982      0.185446      0.185446   1.72525e-18   5.62156e-60   3.26448e-18   2.97647e-36      0.063156             0       5.42798      0.634953      -4.79303       8.60643
0.150316      0.186986      0.186986   6.91213e-18   5.30629e-60   9.11351e-18   4.77775e-35     0.0636805             0       5.47306      0.640226      -4.83283       8.74997
0.153585      0.188477      0.188477   1.11543e-17   3.77117e-44   1.30316e-17   1.24418e-34     0.0641883             0       5.51671      0.645332      -4.87138        8.8901
0.156794      0.189923      0.189923   1.21902e-17   3.20635e-51   1.48709e-17     1.486e-34     0.0646808             0       5.55903      0.650283      -4.90875       9.02702
0.159946      0.191327      0.191327   2.82215e-18   1.95985e-58   5.34003e-18   7.96452e-36     0.0651587             0       5.60011      0.655089      -4.94502       9.16093
0.163042       0.19269       0.19269   2.21792e-17   9.47989e-60   2.58828e-17   4.91919e-34     0.0656232             0       5.64003      0.659758      -4.98027       9.29199
0.166087      0.194017      0.194017   1.66453e-17   9.61799e-48   1.94268e-17   2.77065e-34     0.0660749             0       5.67885      0.664299      -5.01455       9.42035
0.169082      0.195308      0.195308   5.63617e-18   2.91641e-55   6.60424e-18   3.17664e-35     0.0665147             0       5.71665      0.668721      -5.04793       9.54617
0.172029      0.196566      0.196566   1.20106e-17    2.2623e-43   1.45213e-17   1.44254e-34     0.0669432             0       5.75348      0.673029      -5.08045       9.66956
0.174931      0.197793      0.197793   1.09891e-17   7.67219e-44   1.28129e-17    1.2076e-34      0.067361             0       5.78939       0.67723      -5.11216       9.79066
 0.17779      0.198991      0.198991   1.64948e-17   1.89473e-47   1.92328e-17   2.72077e-34     0.0677688             0       5.82444       0.68133      -5.14311       9.90956
0.180607       0.20016       0.20016   2.17826e-17   1.39298e-55   2.48664e-17   4.74482e-34     0.0681671             0       5.85867      0.685334      -5.17334       10.0264
0.183385      0.201303      0.201303   2.50219e-17   7.05555e-59   2.82486e-17   6.26095e-34     0.0685564             0       5.89212      0.689247      -5.20288       10.1412
0.186124      0.202421      0.202421   2.77443e-17   7.05555e-59    3.2381e-17   7.69745e-34      0.068937             0       5.92484      0.693074      -5.23176       10.2541
0.188827      0.203515      0.203515    5.2318e-18   7.05555e-59   6.72147e-18   2.73717e-35     0.0693095             0       5.95685      0.696819      -5.26003       10.3652
0.191494      0.204585      0.204585   1.69614e-17   7.05555e-59   1.98959e-17   2.87689e-34     0.0696742             0       5.98819      0.700486      -5.28771       10.4746
0.194127      0.205634      0.205634   3.15518e-17   7.05555e-59   3.61238e-17   9.95518e-34     0.0700314             0        6.0189      0.704077      -5.31482       10.5823
0.196728      0.206663      0.206663   2.27088e-17   7.05555e-59   2.54265e-17   5.15691e-34     0.0703816             0       6.04899      0.707598      -5.34139       10.6884
0.199296      0.207671      0.207671   2.28625e-17   7.05555e-59   2.56067e-17   5.22692e-34     0.0707249             0        6.0785       0.71105      -5.36745       10.7929
0.201835       0.20866       0.20866   2.21339e-17   7.05555e-59   2.50816e-17   4.89909e-34     0.0710618             0       6.10746      0.714437      -5.39302        10.896
0.204343      0.209631      0.209631   2.46812e-17   7.05555e-59   2.78603e-17   6.09161e-34     0.0713925             0       6.13587      0.717761      -5.41811       10.9976
0.206824      0.210584      0.210584   1.12429e-17   7.05555e-59   1.31631e-17   1.26403e-34     0.0717171             0       6.16378      0.721025      -5.44275       11.0979
0.209276      0.211521      0.211521   5.60402e-18   7.05555e-59   6.55518e-18    3.1405e-35     0.0720361             0       6.19119      0.724232      -5.46696       11.1968
0.211702      0.212441      0.212441      3.66e-19   7.05555e-59   6.92539e-19   1.33956e-37     0.0723496             0       6.21813      0.727383      -5.49075       11.2945
0.214102      0.213346      0.213346   1.67768e-17   7.05555e-59   1.96133e-17   2.81461e-34     0.0726577             0       6.24462      0.730481      -5.51413       11.3909
0.216478      0.214236      0.214236   2.32986e-19   7.05555e-59   4.40853e-19   5.42825e-38     0.0729608             0       6.27066      0.733528      -5.53713       11.4861
0.218828      0.215111      0.215111    6.3026e-19   7.53986e-44   1.19257e-18   3.97228e-37     0.0732589             0       6.29629      0.736526      -5.55976       11.5802
0.221155      0.215973      0.215973   2.22139e-17   7.41427e-44   2.59302e-17   4.93459e-34     0.0735524             0       6.32151      0.739476      -5.58203       11.6731
 0.22346      0.216821      0.216821   2.80085e-17   7.75267e-49   3.27586e-17   7.84475e-34     0.0738412             0       6.34633       0.74238      -5.60395        11.765
0.225741      0.217656      0.217656   6.03972e-18   7.24611e-54   1.14283e-17   3.64782e-35     0.0741257             0       6.37078       0.74524      -5.62554       11.8558
0.228002      0.218479      0.218479   2.34083e-17    1.0636e-58   2.62666e-17   5.47947e-34     0.0744059             0       6.39486      0.748057      -5.64681       11.9456
0.230241       0.21929       0.21929   6.82183e-19   7.47082e-59   1.29082e-18   4.65373e-37      0.074682             0       6.41859      0.750833      -5.66776       12.0344
 0.23246      0.220089      0.220089   2.51954e-18   3.01593e-43   4.76743e-18   6.34807e-36     0.0749541             0       6.44198      0.753569      -5.68841       12.1223
0.234658      0.220877      0.220877   5.64083e-18    1.8216e-48   6.61152e-18    3.1819e-35     0.0752224             0       6.46504      0.756266      -5.70877       12.2092
0.236838      0.221653      0.221653   1.66107e-17   1.23918e-53   1.93802e-17   2.75915e-34     0.0754869             0       6.48777      0.758925      -5.72885       12.2953
0.238998       0.22242       0.22242   2.23668e-17   1.36984e-56   2.61477e-17   5.00272e-34     0.0757478             0        6.5102      0.761549      -5.74865       12.3804
 0.24114      0.223176      0.223176   5.24114e-18   9.66313e-59   6.83458e-18   2.74696e-35     0.0760053             0       6.53233      0.764137      -5.76819       12.4647
