            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
           0.2             0             0      0.282843           0.2          0.08             0             0   5.04647e-18   3.11797e-18   -1.9285e-18       1.74016
     0.0650619             0             0     0.0920114     0.0650619     0.0084661             0             0   1.64166e-18    1.0143e-18   -6.2736e-19      0.184154
   6.73835e-13             0             0   9.52946e-13   6.73835e-13   9.08107e-25             0             0   1.70023e-29   1.05049e-29  -6.49741e-30   1.97531e-23
           0.2             0             0      0.282843           0.2          0.08             0             0   5.04647e-18   3.11797e-18   -1.9285e-18       1.74016
     0.0650619             0             0     0.0920114     0.0650619     0.0084661             0             0   1.64166e-18    1.0143e-18   -6.2736e-19      0.184154
   6.73835e-13             0             0   9.52946e-13   6.73835e-13   9.08107e-25             0             0   1.70023e-29   1.05049e-29  -6.49741e-30   1.97531e-23
           0.2             0             0      0.282843           0.2          0.08             0             0   5.04647e-18   3.11797e-18   -1.9285e-18       1.74016
     0.0650619             0             0     0.0920114     0.0650619     0.0084661             0             0   1.64166e-18    1.0143e-18   -6.2736e-19      0.184154
   6.73835e-13             0             0   9.52946e-13   6.73835e-13   9.08107e-25             0             0   1.70023e-29   1.05049e-29  -6.49741e-30   1.97531e-23
           0.2             0             0      0.282843           0.2          0.08             0             0   5.04647e-18   3.11797e-18   -1.9285e-18       1.74016
     0.0650619             0             0     0.0920114     0.0650619     0.0084661             0             0   1.64166e-18    1.0143e-18   -6.2736e-19      0.184154
   6.73835e-13             0             0   9.52946e-13   6.73835e-13   9.08107e-25             0             0   1.70023e-29   1.05049e-29  -6.49741e-30   1.97531e-23
           0.2             0             0      0.282843           0.2          0.08             0             0   5.04647e-18   3.11797e-18   -1.9285e-18       1.74016
     0.0650619             0             0     0.0920114     0.0650619     0.0084661             0             0   1.64166e-18    1.0143e-18   -6.2736e-19      0.184154
   6.73835e-13             0             0   9.52946e-13   6.73835e-13   9.08107e-25             0             0   1.70023e-29   1.05049e-29  -6.49741e-30   1.97531e-23
           0.2             0             0      0.282843           0.2          0.08             0             0   5.04647e-18   3.11797e-18   -1.9285e-18       1.74016
     0.0650619             0             0     0.0920114     0.0650619     0.0084661             0             0   1.64166e-18    1.0143e-18   -6.2736e-19      0.184154
   6.73835e-13             0             0   9.52946e-13   6.73835e-13   9.08107e-25             0             0   1.70023e-29   1.05049e-29  -6.49741e-30   1.97531e-23
             0             0             0             0             0             0             0             0             0             0            -0             0
             0             0             0             0             0             0             0             0             0             0            -0             0
             0             0             0             0             0             0             0             0             0             0            -0             0
             0             0             0             0             0             0             0             0             0             0            -0             0
             0             0             0             0             0             0             0             0             0             0            -0             0
             0             0             0             0             0             0             0             0             0             0            -0             0
             0             0             0             0             0             0             0             0             0             0            -0             0
             0             0             0             0             0             0             0             0             0             0            -0             0
             0             0             0             0             0             0             0             0             0             0            -0             0
             0             0             0             0             0             0             0             0             0             0            -0             0
             0             0             0             0             0             0             0             0             0             0            -0             0
             0             0             0             0             0             0             0             0             0             0            -0             0
             0             0             0             0             0             0             0             0             0             0            -0             0
             0             0             0             0             0             0             0             0             0             0            -0             0
             0             0             0             0             0             0             0             0             0             0            -0             0
             0             0             0             0             0             0             0             0             0             0            -0             0
             0             0             0             0             0             0             0             0             0             0            -0             0
