                      %P                     obs                       s                guesserr                   error     directory
                   0.041               27.390837                       0                       0           1.8131496e-12  ./initial-2/
                    0.04               26.291096                       0                       0           4.2922556e-11  ./initial-1/
                   0.039               25.217875                       0                       0           1.0523616e-11  ./initial-0/
             0.035010699               21.199614              0.12505978           1.8789307e-06           1.5433016e-11   search-0/
             0.031024689               17.602443              0.22506557           6.4641114e-06           1.5115589e-11   search-1/
             0.027044934               14.421834               0.3250838           1.5064349e-05           4.8595473e-12   search-2/
             0.024135111               12.348171              0.39847446           1.9711958e-05           7.1802239e-12   search-3/
             0.022413167               11.213077              0.44221996           1.6991442e-05            2.489518e-11   search-4/
             0.021126172               10.395786              0.47555843            1.949621e-05           5.2868781e-12   search-5/
             0.020527053                9.998376              0.49284489            1.827899e-05           8.3229732e-11   search-6/
             0.020532598               9.9527374              0.49982518           1.6942631e-05           5.4741856e-11   search-7/
             0.020680818               10.013223              0.50471158           1.8467779e-05           5.3634427e-11   search-8/
             0.020925075               10.128151              0.51162332           1.4587575e-05           4.9210952e-11   search-9/
             0.021198146               10.264995              0.51895584           1.1571088e-05            4.218995e-11   search-10/
             0.021633701               10.493384              0.53035449           1.2362437e-05           5.1750108e-11   search-11/
             0.022178678               10.791411              0.54440052           1.1153532e-05           6.7835562e-11   search-12/
             0.022871385               11.185843              0.56209561           1.0789824e-05           8.5263534e-11   search-13/
             0.023759421               11.713695              0.58465206           1.0633599e-05           6.7822324e-11   search-14/
               0.0248747               12.408914               0.6128773           1.0843385e-05           3.3884882e-11   search-15/
             0.026255076                13.31635              0.64773462           1.0980881e-05           3.1569825e-11   search-16/
             0.027952273               14.500606              0.69054776           1.1017972e-05           1.8802221e-11   search-17/
             0.030032672               16.052958              0.74303106           1.1001224e-05           2.5158523e-11   search-18/
             0.032584757                18.10695              0.80749887           1.0917424e-05           1.6674059e-11   search-19/
             0.035735053               20.869928                0.887314           1.0729709e-05           5.4332782e-11   search-20/
             0.039666423               24.676518              0.98745248           1.0312709e-05           3.8681311e-11   search-21/
             0.043568239               28.862646               1.0876233           6.3559268e-06           1.8062405e-11   search-22/
             0.047432224               33.431951               1.1877979           3.2705501e-06           1.3612552e-11   search-23/
             0.051251338               38.393286               1.2879694            1.547326e-06           5.1797352e-11   search-24/
             0.055019103               43.759967               1.3881389           6.9364419e-07           2.2737307e-11   search-25/
              0.05872923               49.549113                1.488307           2.4741569e-07           2.5333519e-11   search-26/
             0.062375606               55.781361               1.5884739           7.7953184e-09           6.6465043e-11   search-27/
             0.065952291               62.480574               1.6886397           1.2610462e-07           5.1798468e-12   search-28/
             0.069453526               69.673542               1.7888045           1.7817974e-07           9.3495086e-12   search-29/
             0.072873728                77.38965               1.8889684           2.2463493e-07           3.4623438e-12   search-30/
             0.076207499               85.660537               1.9891315            2.315015e-07           1.4545031e-12   search-31/
             0.079449623               94.519742               2.0892937           2.3129793e-07           4.5012766e-12   search-32/
             0.082595079               104.00232               2.1894551           2.2436923e-07           5.5611664e-12   search-33/
             0.085639039               114.14448               2.2896156            2.138246e-07           4.2004658e-12   search-34/
             0.088576877               124.98317               2.3897754           2.0135748e-07            4.500106e-12   search-35/
             0.091404169               136.55568               2.4899344           1.8816256e-07           9.4516792e-11   search-36/
             0.094116701               148.89926               2.5900926           1.7457768e-07           3.6801223e-12   search-37/
             0.096710471               162.05066               2.6902501           1.6209931e-07           3.9884785e-12   search-38/
             0.099181692               176.04583               2.7904068           1.4915191e-07           6.8501961e-12   search-39/
               0.1015268                190.9194               2.8905628           1.3726654e-07           1.6149241e-12   search-40/
              0.10374244               206.70438                2.990718           1.2586207e-07           1.8550447e-12   search-41/
              0.10582549               223.43174               3.0908725           1.1510554e-07           6.8379688e-12   search-42/
              0.10777306               241.13007               3.1910263           1.0493688e-07           1.0920462e-12   search-43/
              0.10958248               259.82518               3.2911794           9.5276977e-08           3.1944863e-12   search-44/
              0.11125131               279.53981               3.3913318           8.6189067e-08           2.7769359e-12   search-45/
              0.11277733               300.29331               3.4914835           7.7527672e-08           5.4645955e-12   search-46/
              0.11415858               322.10131               3.5916345           6.9249738e-08           2.0363525e-12   search-47/
               0.1153933               344.97548               3.6917848           6.1419961e-08           9.6715825e-11   search-48/
              0.11647998               368.92329               3.7919344           5.3553615e-08           8.1894216e-11   search-49/
              0.11741733               393.94776               3.8920834           4.6657342e-08           6.1269723e-11   search-50/
               0.1182043               420.04727               3.9922317            3.993787e-08           4.8580255e-11   search-51/
              0.11884005               447.21541               4.0923793           3.2698587e-08           3.9676302e-11   search-52/
                0.119324               475.44085               4.1925263           2.6264013e-08           3.6761471e-11   search-53/
              0.11965576                504.7072               4.2926726           1.9604824e-08             2.59523e-11   search-54/
              0.11983519               534.99295               4.3928183           1.3536871e-08           1.4553117e-11   search-55/
              0.11986237               566.27144               4.4929634           7.3292698e-09           9.0935585e-12   search-56/
              0.11973758               598.51082               4.5931078           9.9638512e-10           1.8174134e-12   search-57/
              0.11946134               631.67407               4.6932516           4.9743473e-09           9.0474085e-12   search-58/
              0.11903436               665.71907               4.7933948            1.106779e-08           1.3300085e-11   search-59/
              0.11845759               700.59864               4.8935374           1.7156668e-08           2.0606602e-11   search-60/
              0.11773216               736.26064               4.9936793            2.339666e-08           3.5477125e-11   search-61/
              0.11685941               772.64815               5.0938207           2.9276987e-08           4.1495152e-11   search-62/
              0.11584089               809.69958               5.1939615           3.5690368e-08           5.2531312e-11   search-63/
              0.11467834                847.3489               5.2941016           4.1966853e-08           5.9811429e-11   search-64/
              0.11337367               885.52579               5.3942412            4.880423e-08           7.9914683e-11   search-65/
                0.111929               924.15596               5.4943802           5.5097292e-08           3.7924327e-12   search-66/
              0.11034662               963.16133               5.5945186           6.1700931e-08           5.6651762e-12   search-67/
