      #(P)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
   0.041      0.212552   7.30715e-09   6.64249e-36      0.212552   1.44826e-05     0.0451783             0      0.154784       1.85743       1.39306     -0.464363      0.977503
    0.04      0.210396             0             0      0.210396             0     0.0442664             0      0.153214       1.83857       1.37893     -0.459643      0.957763
   0.039      0.208183   5.52773e-06             0      0.208183   1.11624e-05       0.04334  -4.58281e-06      0.151601       1.81925       1.36443     -0.454822      0.937732
0.0350107      0.198686   8.26667e-05             0      0.198686    0.00030035     0.0394759  -6.85103e-05      0.144663       1.73673       1.30235     -0.434374      0.854375
0.0310247      0.187766   0.000247888             0      0.187766   0.000984057     0.0352561  -0.000205423      0.136659       1.64235       1.23115     -0.411202      0.763594
0.0270449      0.174518   0.000501183   1.74962e-22      0.174518    0.00206221     0.0304564  -0.000415313      0.126924       1.52817       1.14485     -0.383317      0.660469
0.0241351      0.161952   0.000742963             0       0.16195    0.00310379     0.0262279  -0.000615659      0.117683       1.41981       1.06294     -0.356869      0.569569
0.0224132       0.15189   0.000909451             0      0.151887    0.00382486     0.0230698  -0.000753615      0.110289       1.33284      0.997265     -0.335571      0.501563
0.0211262      0.140596    0.00104716             0      0.140592    0.00442293      0.019766  -0.000867722      0.102003       1.23487       0.92342     -0.311454      0.430252
0.0205271      0.129431    0.00112091             0      0.129426    0.00474377     0.0167512  -0.000928836     0.0938362       1.13766      0.850303     -0.287353      0.364991
0.0205326      0.120404    0.00113984             0      0.120398    0.00482618     0.0144957  -0.000944523     0.0872483       1.05881      0.791112     -0.267696      0.316055
0.0206808      0.116284    0.00114653             0      0.116278    0.00485533     0.0135205  -0.000950068     0.0842423       1.02281      0.764093     -0.258716      0.294888
0.0209251      0.112096    0.00114778             0       0.11209    0.00486081     0.0125641  -0.000951104      0.081189      0.986186       0.73662     -0.249566      0.274112
0.0211981      0.108634    0.00113948             0      0.108628    0.00482472     0.0118001  -0.000944225     0.0786698       0.95587      0.713903     -0.241966      0.257497
0.0216337      0.104275    0.00110782             0      0.104269    0.00468694      0.010872  -0.000917986     0.0755066      0.917578      0.685269     -0.232309       0.23727
0.0221787     0.0998604    0.00103821   3.49925e-22      0.099855    0.00438402    0.00997103  -0.000860306     0.0723211      0.878614      0.656233      -0.22238      0.217563
0.0228714      0.095175   0.000903178             0     0.0951707    0.00379638    0.00905746  -0.000748418     0.0689682      0.836944      0.625347     -0.211597      0.197479
0.0237594      0.090078   0.000655246             0     0.0900756    0.00271735    0.00811361  -0.000542976     0.0653625      0.791044      0.591593     -0.199451      0.176573
0.0248747     0.0846036   0.000226075             0     0.0846033   0.000849813    0.00715772  -0.000187355     0.0615414      0.740652      0.554948     -0.185704      0.155176
0.0262551     0.0788318   0.000485555             0     0.0788303    0.00224847    0.00621421   0.000402317     0.0575434      0.685215      0.515227     -0.169988      0.133746
0.0279523     0.0729964    0.00163323             0     0.0729782    0.00724372    0.00532581    0.00135331      0.053404      0.623729      0.471942     -0.151786      0.113141
0.0300327     0.0678517    0.00345018             0      0.067764     0.0151523    0.00459195    0.00285887     0.0491808       0.55509      0.424391     -0.130699     0.0954932
0.0325848       0.06551    0.00629762             0     0.0652066     0.0275464     0.0042519    0.00521832     0.0449695      0.479033      0.371538     -0.107495     0.0860952
0.0357351       0.07079     0.0107582             0     0.0699678     0.0469622    0.00489549    0.00891448     0.0409283      0.400705       0.31177     -0.088935     0.0981888
0.0396664     0.0913431     0.0178072    5.5988e-21     0.0895906      0.077645    0.00802647     0.0147555     0.0373476      0.342752      0.242648     -0.100104      0.165753
0.0435682      0.124813     0.0264598             0      0.121977      0.115308     0.0148783     0.0219252     0.0351669      0.328003       0.17796     -0.150042      0.317619
0.0474322      0.168254      0.036695             0      0.164204      0.159859     0.0269629     0.0304063     0.0342168      0.338778      0.116807     -0.221971      0.588196
0.0512513       0.22005     0.0484906    2.2127e-20      0.214641      0.211203     0.0460706     0.0401804      0.034384      0.368766     0.0608103     -0.307956       1.01806
0.0550191      0.279403     0.0618227             0      0.272477      0.269235     0.0742439     0.0512276      0.035587      0.439973     0.0345941     -0.405379       1.65341
0.0587292      0.345877      0.076665             0      0.337274      0.333841      0.113754     0.0635263     0.0377634      0.589291     0.0760694     -0.513222       2.54549
0.0623756      0.419191      0.092989             0      0.408747      0.404896      0.167074     0.0770527     0.0408633      0.762463      0.131492     -0.630971       3.75011
0.0659523       0.49913      0.110764             0      0.486684      0.482267      0.236862     0.0917814     0.0448428      0.947112      0.188815     -0.758297       5.32707
0.0694535      0.585503      0.129957   4.47904e-20      0.570899      0.565811      0.325925      0.107685     0.0496663       1.14167      0.246744      -0.89493       7.33961
0.0728737      0.678134      0.150533             0      0.661215      0.655376      0.437205      0.124735        0.0553       1.34567      0.305046      -1.04062       9.85384
0.0762075      0.776843      0.172456   8.85079e-20      0.757459        0.7508      0.573744      0.142901     0.0617131        1.5588      0.363678      -1.19512       12.9382
0.0794496       0.88145      0.195686    1.4164e-19      0.859454      0.851917      0.738662       0.16215     0.0688765       1.78082      0.422642      -1.35818       16.6627
0.0825951      0.991769      0.220183             0      0.967018      0.958547      0.935125      0.182448     0.0767625       2.01148      0.481945      -1.52953       21.0985
0.085639       1.10761      0.245904             0       1.07996       1.07051       1.16632      0.203762      0.085344        2.2505      0.541592      -1.70891       26.3172
0.0885769       1.22876      0.272806             0        1.1981       1.18761       1.43544      0.226053     0.0945948       2.49759      0.601579      -1.89601       32.3901
0.0914042       1.35504      0.300843             0       1.32122       1.30965       1.74561      0.249285      0.104489       2.75244      0.661894      -2.09055        39.388
0.0941167       1.48621      0.329968             0       1.44912       1.43642       2.09994      0.273419         0.115       3.01473      0.722517      -2.29221       47.3798
0.0967105       1.62207      0.360133             0       1.58159       1.56773       2.50142      0.298414      0.126103        3.2841      0.783421      -2.50068       56.4329
0.0991817       1.76239      0.391287             0       1.71841       1.70334       2.95293      0.324229      0.137772       3.56019      0.844571      -2.71562       66.6118
0.101527       1.90695      0.423381             0       1.85936       1.84303       3.45721      0.350823      0.149982       3.84263      0.905928       -2.9367       77.9779
0.103742       2.05551      0.456362             0       2.00421        1.9866       4.01684      0.378152      0.162706       4.13103      0.967447      -3.16358       90.5888
0.105825       2.20782      0.490177             0       2.15272       2.13379       4.63421      0.406172      0.175919       4.42497       1.02908      -3.39589       104.498
0.107773       2.36366      0.524773   1.79161e-19       2.30467       2.28438        5.3115      0.434838      0.189595       4.72405       1.09077      -3.63328       119.754
0.109582       2.52277      0.560094             0       2.45981       2.43812       6.05065      0.464106      0.203708       5.02784       1.15246      -3.87539       136.401
0.111251        2.6849      0.596085             0       2.61789       2.59479       6.85337      0.493929      0.218231       5.33592       1.21409      -4.12183       154.475
0.112777        2.8498      0.632691   9.11873e-19       2.77868       2.75413       7.72108      0.524262       0.23314       5.64783        1.2756      -4.37223        174.01
0.114159       3.01722      0.669854   9.11873e-19       2.94193       2.91589       8.65493      0.555056      0.248407       5.96313       1.33692      -4.62621        195.03
0.115393        3.1869      0.707518             0       3.10737       3.07984       9.65577      0.586265      0.264006       6.28137       1.39798      -4.88339       217.555
 0.11648       3.35858      0.745625             0       3.27477       3.24571       10.7241      0.617842      0.279911        6.6021       1.45871      -5.14338       241.595
0.117417         3.532      0.784118             0       3.44387       3.41326       11.8602      0.649738      0.296096       6.92484       1.51905      -5.40579       267.156
0.118204       3.70691      0.822938             0       3.61441       3.58224       13.0639      0.681905      0.312534       7.24914       1.57891      -5.67023       294.234
