                      %P                     obs                       s                guesserr                   error     directory
                  -0.012               5.9326983                       0                       0           9.9560954e-10  ./initial-2/
                  -0.013               6.2679134                       0                       0           2.0442937e-09  ./initial-1/
                  -0.014               6.6304191                       0                       0           1.5715764e-09  ./initial-0/
            -0.014298618                6.744506             0.099935303           1.4046618e-06           3.3137249e-09   search-2/
            -0.014429098               6.7955516               0.1099888           5.1365761e-07           3.3805565e-09   search-5/
            -0.014494086               6.8216789              0.11501624           2.9248429e-07           4.1815753e-09   search-8/
            -0.014502064               6.8250493              0.11564506           5.6020657e-08           9.8641984e-09   search-13/
            -0.014505707               6.8267619              0.11595986            3.191257e-08           5.4202302e-09   search-16/
            -0.014505989               6.8270363              0.11604004           1.2980854e-08           2.9688764e-09   search-20/
            -0.014503895               6.8264998              0.11624465           7.2361666e-08           5.4020788e-10   search-21/
             -0.01449803               6.8245422              0.11671753           8.3613867e-08           2.7670946e-09   search-23/
            -0.014490814               6.8219957              0.11728322           1.6067494e-07           5.0124195e-09   search-25/
             -0.01447587               6.8165773              0.11844379           1.9700458e-07           1.8792192e-09   search-26/
            -0.014445549               6.8054083              0.12078985           3.7790739e-07           2.1570653e-09   search-27/
            -0.014384599               6.7827415               0.1255115           6.2988544e-07           3.1670652e-09   search-28/
            -0.014263119               6.7374563               0.1350522           1.2923948e-06           8.6668387e-09   search-29/
            -0.014079757               6.6694552              0.15009184           7.0564012e-06           6.9216547e-09   search-30/
             -0.01389957               6.6032989              0.16574651           1.8622107e-05           3.0206871e-10   search-31/
            -0.013746836               6.5478141              0.17966258           1.6888986e-05           4.6875244e-09   search-32/
            -0.013593488               6.4926774              0.19426619           1.5925449e-05           7.5306114e-09   search-33/
            -0.013435382               6.4364511              0.20994695           1.9910006e-05           7.7597373e-10   search-34/
            -0.013302083               6.3895442              0.22374399           1.7629539e-05           1.0087953e-09   search-35/
            -0.013179419                6.346789               0.2369807           1.6180379e-05           1.1353329e-09   search-36/
            -0.013063242               6.3066619               0.2500208           1.5831594e-05           1.1285153e-09   search-37/
            -0.012952045               6.2685943              0.26292483           1.5883575e-05           1.5513112e-09   search-38/
            -0.012844061               6.2319508              0.27580426           1.5847918e-05           2.4996659e-09   search-39/
            -0.012738098               6.1963127              0.28869147           1.5888325e-05           4.2598024e-09   search-40/
            -0.012632921               6.1612701              0.30165764            1.585411e-05           1.0737463e-09   search-41/
            -0.012527733               6.1265917              0.31470489           1.5882171e-05           9.0317457e-09   search-42/
            -0.012479774               6.1109475              0.32103846           4.1143686e-06           1.0995803e-09   search-44/
            -0.012444157               6.0994536              0.32607196           1.6535799e-06           7.5261235e-09   search-46/
             -0.01242773               6.0942803              0.32856602           3.5906718e-07           3.4978197e-09   search-49/
            -0.012424944               6.0934849              0.32919308           3.7469073e-08           7.0263219e-09   search-53/
            -0.012425687               6.0937783              0.32935081           1.2975031e-08           2.3411438e-09   search-57/
            -0.012428864               6.0949668               0.3297363           2.4325908e-08           7.4146993e-09   search-58/
            -0.012441947               6.0994622              0.33078174           5.3186098e-07           1.3255163e-09   search-59/
            -0.012450903               6.1025064              0.33149186           1.2092102e-07           1.6935177e-09   search-62/
            -0.012468969               6.1086131              0.33325296           2.9668675e-07           9.0730901e-10   search-63/
            -0.012494397               6.1171835              0.33844679           6.2551571e-06           8.1556073e-10   search-64/
            -0.012442315               6.0995908               0.3459291           1.3491605e-05           3.3916502e-09   search-65/
            -0.012430704               6.0956077              0.34704973           2.0264269e-07           5.9727425e-09   search-70/
            -0.012427717               6.0945463              0.34733416           3.3726548e-08           2.8268692e-09   search-74/
            -0.012426217               6.0940078              0.34747681             4.97551e-09             4.97551e-09   search-77/
            -0.012425176               6.0935455              0.34761957           1.1337232e-08            5.402451e-09   search-79/
            -0.012425268               6.0936751              0.34770212           2.3490475e-08           8.7928712e-09   search-82/
            -0.012431514                6.095882              0.34820294            4.728889e-07           1.8678867e-09   search-83/
            -0.012477807                6.110308              0.35183717           3.0647419e-06           2.9142372e-09   search-84/
            -0.012543834               6.1318749              0.35692763           1.6854932e-05           1.6599991e-09   search-85/
            -0.012755645               6.2055923              0.37384712           1.7829321e-05           1.5030527e-09   search-86/
            -0.012846124               6.2365535              0.38131352           1.8164157e-05           1.3268693e-09   search-87/
            -0.013023669               6.2979056              0.39675588           1.1600298e-05           7.5905515e-09   search-88/
             -0.01317543               6.3509966              0.41088081           1.6196421e-05           3.4985491e-09   search-89/
            -0.013325774               6.4041942              0.42567253           1.8967457e-05           1.6953538e-09   search-90/
            -0.013459133               6.4518908              0.43955213           1.6223074e-05           1.1118153e-09   search-91/
            -0.013597876               6.5020274              0.45464879           1.9577691e-05           3.5288796e-09   search-92/
            -0.013719103               6.5462712               0.4684146           1.7308556e-05           3.9132096e-09   search-93/
             -0.01383336                6.588348              0.48187287           1.6145576e-05           5.3421075e-09   search-94/
            -0.013961434               6.6359593              0.49712702           1.9972771e-05           6.9686622e-09   search-95/
            -0.014078525               6.6799089              0.51122085           1.7488204e-05            8.314611e-09   search-96/
            -0.014193496               6.7234722               0.5252004           1.6206139e-05           7.7668918e-10   search-97/
             -0.01430872                6.767565              0.53932085           1.5881853e-05           9.6799196e-10   search-98/
            -0.014425395               6.8127137              0.55357479            1.589927e-05           2.4644069e-09   search-99/
            -0.014479424               6.8338286              0.56058701           4.0440698e-06           9.3269078e-09   search-101/
            -0.014561837               6.8664227               0.5719162           6.9602787e-06           3.2596019e-09   search-102/
             -0.01460229               6.8828139              0.57801612           2.8670612e-06           2.9194379e-09   search-104/
            -0.014610291               6.8861721              0.57931558           1.7084255e-07           9.3632498e-09   search-108/
            -0.014617108               6.8894489              0.58061999           5.5533372e-08           3.9173374e-09   search-110/
            -0.014616286                6.888867              0.58094923           5.3399999e-08            2.228967e-09   search-114/
            -0.014608339               6.8853384              0.58181246           4.3864042e-07           4.9479659e-09   search-115/
            -0.014592188               6.8786585              0.58309824           2.4182999e-07           4.9580911e-09   search-117/
            -0.014544516               6.8595168              0.58711755           7.6448566e-07           2.4374422e-09   search-118/
            -0.014519105               6.8494433              0.59021859           2.1661067e-06           8.3469596e-09   search-120/
