      #(P)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
 -0.0099     0.0147449             0             0     0.0147449     0.0146622   0.000217412             0    0.00113542      0.013625     0.0102188   -0.00340626    0.00474797
   -0.01     0.0148722             0             0     0.0148722     0.0147883   0.000221182             0    0.00114837     0.0137805     0.0103354   -0.00344512    0.00483019
 -0.0101     0.0150035             0             0     0.0150035     0.0149185   0.000225106             0     0.0011618     0.0139416     0.0104562    -0.0034854     0.0049158
 -0.0102     0.0151394             0             0     0.0151394     0.0150531   0.000229201             0    0.00117575      0.014109     0.0105817   -0.00352725    0.00500512
 -0.0103     0.0152802             0             0     0.0152802     0.0151925   0.000233484             0    0.00119027     0.0142833     0.0107125   -0.00357082    0.00509855
 -0.0104     0.0154265             0             0     0.0154265     0.0153374   0.000237977             0    0.00120544     0.0144653      0.010849   -0.00361633    0.00519655
 -0.0105      0.015579             0             0      0.015579     0.0154884   0.000242705             0    0.00122133      0.014656      0.010992     -0.003664    0.00529967
 -0.0106     0.0157384             0             0     0.0157384     0.0156463   0.000247698             0    0.00123804     0.0148565     0.0111424   -0.00371413     0.0054086
 -0.0107     0.0159058             0             0     0.0159058     0.0158121   0.000252996             0     0.0012557     0.0150683     0.0113013   -0.00376709    0.00552415
 -0.0108     0.0160825             0             0     0.0160825      0.015987   0.000258645             0    0.00127444     0.0152933     0.0114699   -0.00382331    0.00564739
 -0.0109     0.0162699             0             0     0.0162699     0.0161725   0.000264709             0    0.00129447     0.0155336     0.0116502    -0.0038834    0.00577965
  -0.011     0.0164702             0             0     0.0164702     0.0163708   0.000271267             0    0.00131604     0.0157925     0.0118444   -0.00394813    0.00592272
 -0.0111     0.0166863             0             0     0.0166863     0.0165846   0.000278433             0    0.00133952     0.0160743     0.0120557   -0.00401857    0.00607903
-0.0111999     0.0169223             0             0     0.0169223     0.0168181   0.000286365             0    0.00136541      0.016385     0.0122887   -0.00409624    0.00625206
-0.0112999     0.0171845             0             0     0.0171845     0.0170774   0.000295306             0     0.0013945      0.016734     0.0125505   -0.00418349    0.00644709
-0.0113999     0.0174829             0             0     0.0174829     0.0173726   0.000305652             0    0.00142805     0.0171366     0.0128525   -0.00428416    0.00667279
-0.0114999     0.0178367             0             0     0.0178367     0.0177223   0.000318147             0     0.0014685      0.017622     0.0132165   -0.00440549    0.00694537
-0.0115999     0.0182899             0             0     0.0182899     0.0181701   0.000334519             0    0.00152147     0.0182577     0.0136933   -0.00456442    0.00730256
-0.0116998      0.019022             0             0      0.019022      0.018893   0.000361836             0    0.00161029     0.0193235     0.0144926   -0.00483087    0.00789857
-0.0117247     0.0193995             0             0     0.0193995     0.0192654    0.00037634             0    0.00165792      0.019895     0.0149213   -0.00497375    0.00821505
