            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
    0.00818309             0             0    0.00818309    0.00810602   6.69629e-05             0   0.000815909    0.00979091    0.00734318   -0.00244773     0.0014649
    0.00818309             0             0    0.00818309    0.00810602   6.69629e-05             0   0.000815909    0.00979091    0.00734318   -0.00244773     0.0014649
     0.0081984             0             0     0.0081984    0.00815254   6.72138e-05             0   0.000630583      0.007567    0.00567525   -0.00189175    0.00147058
     0.0077184             0             0     0.0077184    0.00769646   5.95738e-05             0   0.000423549    0.00508259    0.00381194   -0.00127065     0.0013036
    0.00688099             0             0    0.00688099    0.00686426    4.7348e-05             0   0.000349202    0.00419042    0.00314282   -0.00104761    0.00103606
    0.00818309             0             0    0.00818309    0.00810602   6.69629e-05             0   0.000815909    0.00979091    0.00734318   -0.00244773     0.0014649
     0.0077629             0             0     0.0077629    0.00772801   6.02625e-05             0   0.000535358     0.0064243    0.00481822   -0.00160607    0.00131856
    0.00818309             0             0    0.00818309    0.00810602   6.69629e-05             0   0.000815909    0.00979091    0.00734318   -0.00244773     0.0014649
    0.00812614             0             0    0.00812614    0.00808269   6.60341e-05             0   0.000611109     0.0073333    0.00549998   -0.00183333    0.00144477
    0.00821324             0             0    0.00821324    0.00817768   6.74572e-05             0   0.000555958     0.0066715    0.00500362   -0.00166787    0.00147595
    0.00751109             0             0    0.00751109    0.00749021   5.64165e-05             0   0.000407529    0.00489035    0.00366776   -0.00122259    0.00123449
    0.00814312             0             0    0.00814312    0.00806654   6.63105e-05             0   0.000811393    0.00973672    0.00730254   -0.00243418    0.00145063
    0.00814312             0             0    0.00814312    0.00806654   6.63105e-05             0   0.000811393    0.00973672    0.00730254   -0.00243418    0.00145063
    0.00819032             0             0    0.00819032    0.00814466   6.70813e-05             0   0.000628878    0.00754654    0.00565991   -0.00188664    0.00146769
    0.00769877             0             0    0.00769877    0.00767676    5.9271e-05             0   0.000423596    0.00508315    0.00381236   -0.00127079    0.00129696
    0.00690649             0             0    0.00690649    0.00688939   4.76996e-05             0   0.000353732    0.00424478    0.00318359    -0.0010612    0.00104376
    0.00814312             0             0    0.00814312    0.00806654   6.63105e-05             0   0.000811393    0.00973672    0.00730254   -0.00243418    0.00145063
      0.008157             0             0      0.008157    0.00813292   6.65367e-05             0   0.000456063    0.00547276    0.00410457   -0.00136819    0.00145597
    0.00693397             0             0    0.00693397    0.00691861     4.808e-05             0   0.000335947    0.00403137    0.00302353   -0.00100784    0.00105203
    0.00818309             0             0    0.00818309    0.00810602   6.69629e-05             0   0.000815909    0.00979091    0.00734318   -0.00244773     0.0014649
    0.00823492             0             0    0.00823492    0.00821031    6.7814e-05             0   0.000463317    0.00555981    0.00416986   -0.00138995    0.00148392
    0.00818309             0             0    0.00818309    0.00810602   6.69629e-05             0   0.000815909    0.00979091    0.00734318   -0.00244773     0.0014649
    0.00821413             0             0    0.00821413    0.00818959   6.74719e-05             0   0.000462014    0.00554416    0.00415812   -0.00138604    0.00147642
    0.00692932             0             0    0.00692932    0.00691435   4.80155e-05             0   0.000331521    0.00397825    0.00298369  -0.000994563    0.00105062
    0.00692932             0             0    0.00692932    0.00691435   4.80155e-05             0   0.000331521    0.00397825    0.00298369  -0.000994563    0.00105062
    0.00818309             0             0    0.00818309    0.00810602   6.69629e-05             0   0.000815909    0.00979091    0.00734318   -0.00244773     0.0014649
    0.00760396             0             0    0.00760396    0.00758207   5.78202e-05             0   0.000419893    0.00503872    0.00377904   -0.00125968     0.0012652
     0.0070499             0             0     0.0070499    0.00703179   4.97011e-05             0   0.000367768    0.00441322    0.00330991    -0.0011033    0.00108756
     0.0070499             0             0     0.0070499    0.00703179   4.97011e-05             0   0.000367768    0.00441322    0.00330991    -0.0011033    0.00108756
