            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0174426             0             0     0.0174426     0.0173332   0.000304245             0    0.00142023     0.0170427      0.012782   -0.00426068    0.00664204
      0.017788             0             0      0.017788     0.0176742   0.000316412             0    0.00146252     0.0175502     0.0131627   -0.00438755    0.00690749
     0.0178363             0             0     0.0178363     0.0177219   0.000318132             0    0.00146844     0.0176212     0.0132159   -0.00440531    0.00694505
     0.0174426             0             0     0.0174426     0.0173333   0.000304245             0    0.00142019     0.0170423     0.0127817   -0.00426058    0.00664205
     0.0177916             0             0     0.0177916     0.0176778    0.00031654             0    0.00146296     0.0175555     0.0131666   -0.00438888    0.00691028
     0.0178365             0             0     0.0178365     0.0177222   0.000318142             0    0.00146847     0.0176217     0.0132162   -0.00440541    0.00694527
     0.0178368             0             0     0.0178368     0.0177225   0.000318153             0    0.00146852     0.0176222     0.0132166   -0.00440555    0.00694551
     0.0178368             0             0     0.0178368     0.0177225   0.000318153             0    0.00146852     0.0176222     0.0132166   -0.00440555    0.00694551
     0.0150303             0             0     0.0150303      0.014945   0.000225911             0    0.00116455     0.0139746     0.0104809   -0.00349364    0.00493335
     0.0150303             0             0     0.0150303      0.014945   0.000225911             0    0.00116455     0.0139746     0.0104809   -0.00349364    0.00493335
     0.0152797             0             0     0.0152797     0.0151921    0.00023347             0    0.00119022     0.0142826      0.010712   -0.00357065    0.00509824
     0.0152802             0             0     0.0152802     0.0151925   0.000233484             0    0.00119026     0.0142831     0.0107124   -0.00357079    0.00509854
     0.0152802             0             0     0.0152802     0.0151925   0.000233484             0    0.00119027     0.0142833     0.0107125   -0.00357082    0.00509855
     0.0152802             0             0     0.0152802     0.0151925   0.000233484             0    0.00119027     0.0142833     0.0107125   -0.00357082    0.00509855
