                      %P                     obs                       s                guesserr                   error     directory
                  0.0099               5.7757908                       0                       0           1.5383474e-14  ./initial-2/
                    0.01                 5.80319                       0                       0           7.1765135e-12  ./initial-1/
                  0.0101               5.8308552                       0                       0           1.0831879e-14  ./initial-0/
             0.010994628               6.0901855              0.11108106           3.3469879e-09           3.3469346e-09   search-0/
             0.011874699               6.3660747              0.21110798           2.0493304e-08           3.5384211e-13   search-1/
             0.012739764               6.6573363              0.31111999           1.0099459e-09           1.0099456e-09   search-2/
             0.013589854                6.962954              0.41112004           1.4584832e-08           2.5099198e-13   search-3/
             0.014425075               7.2819453              0.51110723           7.7038941e-09           7.7038256e-09   search-4/
             0.015245639               7.6134308               0.6110877           3.0978991e-08           2.5111601e-13   search-5/
              0.01605176               7.9565245              0.71105602           1.6498227e-08            4.360626e-14   search-6/
             0.016843786               8.3104645              0.81102059           1.4096057e-08           1.0753861e-13   search-7/
             0.017622022               8.6744996              0.91097853           6.0348082e-09           6.0347847e-09   search-8/
              0.01838684                9.047979               1.0109353           2.3618298e-08           1.9023869e-13   search-9/
              0.01913857               9.4302359               1.1108846           1.3079046e-08           9.6667133e-14   search-10/
             0.019877642               9.8207235               1.2108346           1.0640586e-08           7.3100076e-14   search-11/
              0.02060441               10.218888               1.3107818           4.2147424e-09           4.2147325e-09   search-12/
             0.021319271               10.624258               1.4107303           1.6512701e-08           9.8403696e-14   search-13/
             0.022022573               11.036359               1.5106761           9.1049886e-09           9.1049711e-09   search-14/
             0.022714708               11.454756                1.610619           1.9848773e-08           1.0436343e-13   search-15/
             0.023396082                11.87912               1.7105695           3.0332411e-08            1.510043e-13   search-16/
             0.024066971               12.309041               1.8105161           6.3460466e-09           6.3460372e-09   search-17/
             0.024727754               12.744189               1.9104609           1.6493553e-08           7.4144879e-14   search-18/
             0.025378797               13.184304               2.0104124            2.140899e-08           9.1564004e-14   search-19/
             0.026020366               13.629062               2.1103616           4.1672132e-09           4.1672082e-09   search-20/
             0.026652793               14.078205               2.2103104           1.0483481e-08           4.1450639e-14   search-21/
               0.0272764               14.531519               2.3102642           1.4387035e-08           5.4469864e-14   search-22/
             0.027891436               14.988753               2.4102169           2.4254893e-09           2.4254867e-09   search-23/
             0.028498192               15.449705               2.5101709            5.658288e-09            5.658282e-09   search-24/
             0.029096934               15.914183               2.6101262           8.1976739e-09           8.1976649e-09   search-25/
             0.029687918               16.382004               2.7100827           8.6713705e-09           8.6713599e-09   search-26/
             0.030271386                  16.853               2.8100405           5.9958607e-09           5.9958503e-09   search-27/
             0.030847574               17.327014               2.9099995           4.3221365e-09           4.3221348e-09   search-28/
             0.031416706               17.803919               3.0099627           1.6717297e-08            2.205889e-14   search-29/
             0.031978964               18.283534               3.1099219           1.4107272e-08           1.6867543e-14   search-30/
             0.032534596               18.765767               3.2098845           4.9633949e-09            4.963394e-09   search-31/
