      #(P)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
  0.0099      0.146236             0             0      0.146236      0.127158     0.0213849             0     0.0525928      0.631114      0.473335     -0.157778      0.466734
    0.01      0.146371             0             0      0.146371      0.127267     0.0214244             0     0.0526516      0.631819      0.473864     -0.157955      0.467596
  0.0101      0.146506             0             0      0.146506      0.127376     0.0214639             0     0.0527103      0.632523      0.474392     -0.158131      0.468456
  0.0111       0.14784             0             0       0.14784      0.128457     0.0218567             0     0.0532922      0.639506       0.47963     -0.159877      0.477024
0.0120999      0.149152             0             0      0.149152      0.129518     0.0222464             0     0.0538656      0.646387       0.48479     -0.161597      0.485525
0.0130999      0.150444             0             0      0.150444      0.130562     0.0226333             0     0.0544309      0.653171      0.489878     -0.163293      0.493963
0.0140999      0.151715             0             0      0.151715      0.131588     0.0230174             0     0.0549886      0.659863      0.494897     -0.164966      0.502342
0.0150998      0.152967             0             0      0.152967      0.132598      0.023399             0      0.055539      0.666469      0.499851     -0.166617      0.510664
0.0160998      0.154202             0             0      0.154202      0.133593     0.0237781             0     0.0560827      0.672992      0.504744     -0.168248      0.518934
0.0170998      0.155419             0             0      0.155419      0.134572     0.0241549             0     0.0566199      0.679438      0.509579      -0.16986      0.527153
0.0180997      0.156619             0             0      0.156619      0.135538     0.0245296             0     0.0571509      0.685811      0.514358     -0.171453      0.535324
0.0190997      0.157804             0             0      0.157804      0.136489     0.0249022             0      0.057676      0.692112      0.519084     -0.173028       0.54345
0.0200997      0.158974             0             0      0.158974      0.137428     0.0252728             0     0.0581956      0.698348      0.523761     -0.174587      0.551533
0.0210997       0.16013             0             0       0.16013      0.138354     0.0256415             0     0.0587099      0.704519      0.528389      -0.17613      0.559575
0.0220996      0.161271             0             0      0.161271      0.139268     0.0260085             0     0.0592191      0.710629      0.532972     -0.177657      0.567578
0.0230996        0.1624             0             0        0.1624       0.14017     0.0263737             0     0.0597235      0.716682      0.537512     -0.179171      0.575544
