                      %P                     obs                       s                guesserr                   error     directory
                   0.011               6.0895042                       0                       0           1.0754316e-12  ./initial-2/
                    0.01                5.800929                       0                       0           1.4455423e-12  ./initial-1/
                   0.009               5.5389489                       0                       0           2.0405121e-12  ./initial-0/
            0.0080000392               5.3035676              0.20000379            9.096651e-09           1.7932387e-13   search-0/
            0.0070000799               5.0947696              0.30000379           9.8938647e-09           2.3465145e-13   search-1/
            0.0060001222               4.9125488              0.40000379           1.1092619e-08           3.2154059e-13   search-2/
            0.0050001662               4.7568987               0.5000038           1.2294048e-08           4.3624067e-13   search-3/
            0.0040002121                4.627812               0.6000038           1.3738344e-08           6.0070681e-13   search-4/
            0.0030002602               4.5252805               0.7000038           1.5430951e-08            8.354008e-13   search-5/
            0.0020003106               4.4492946              0.80000381           1.7429158e-08           1.1669701e-12   search-6/
            0.0010003636                4.399844              0.90000381           1.9808665e-08           1.6533805e-12   search-7/
            4.194835e-07               4.3769163               1.0000038           2.2666291e-08            2.377261e-12   search-8/
          -0.00099952138               4.3804977               1.1000038           2.6135294e-08           3.4457042e-12   search-9/
           -0.0019994586               4.4105719               1.2000038           3.0390233e-08            5.094911e-12   search-10/
           -0.0029993915               4.4671196               1.3000038           3.5681269e-08           7.6018647e-12   search-11/
           -0.0039993197               4.5501183               1.4000039           4.2345216e-08           4.5232799e-15   search-12/
           -0.0049992422               4.6595404               1.5000039            5.089076e-08           7.1545416e-15   search-13/
            -0.005999158               4.7953528               1.6000039           6.2038195e-08           1.1152411e-13   search-14/
           -0.0069990659               4.9575139               1.7000039           7.6908663e-08           2.8428559e-14   search-15/
           -0.0079989641               5.1459711                1.800004           9.7249361e-08           1.2209987e-13   search-16/
           -0.0089988502               5.3606563                1.900004           1.2592603e-07           1.7744237e-13   search-17/
           -0.0099987209               5.6014777               2.0000041           1.6785524e-07           7.2221395e-14   search-18/
            -0.010998571               5.8683076               2.1000042           2.3199075e-07           5.5028982e-13   search-19/
            -0.011998393               6.1609583               2.2000043             3.35866e-07           1.2635815e-12   search-20/
            -0.012998173               6.4791336               2.3000046           5.1724582e-07            3.154355e-13   search-21/
            -0.013997885               6.8223135                2.400005           8.6867309e-07           4.3245541e-13   search-22/
            -0.014997466               7.1894092                2.500006           1.6632606e-06           1.3225802e-12   search-23/
             -0.01599667               7.5771037               2.6000086           3.9919345e-06           1.3193863e-12   search-24/
            -0.016495545               7.7732414               2.6500141           4.2121364e-06            5.790348e-12   search-26/
            -0.016619562               7.8191284               2.6625184           1.5966251e-06           8.7929412e-12   search-29/
            -0.016664869               7.8333603               2.6671776           6.2822233e-07           4.4306567e-12   search-32/
            -0.016674696               7.8352346               2.6682663           1.6532181e-07           2.2624278e-12   search-36/
            -0.016674857               7.8295405               2.6693673           2.5135279e-07            9.789436e-12   search-38/
            -0.016661857               7.8207433               2.6707936           1.6303576e-06           1.8871717e-12   search-40/
            -0.016638465               7.8072283               2.6732125           1.4872519e-06           7.2737751e-12   search-42/
            -0.016587332               7.7801437                2.678402           2.9538084e-06           1.8670047e-12   search-43/
            -0.016490746               7.7319338               2.6881286           4.6365235e-06           5.3275667e-12   search-44/
            -0.016337149               7.6584103               2.7035451           5.6976724e-06           7.0759433e-12   search-45/
            -0.016105534               7.5512245               2.7267564           6.1334852e-06           4.1497058e-12   search-46/
            -0.015770619               7.4012084               2.7602927           6.4890244e-06           7.8072097e-12   search-47/
            -0.015306794               7.2007924               2.8067159           6.8335225e-06           2.7453542e-12   search-48/
            -0.014684043               6.9430941               2.8690286           7.0744457e-06           4.6841578e-12   search-49/
            -0.013864245                6.621983               2.9510437           7.2134972e-06           3.6464846e-12   search-50/
            -0.012864525               6.2568339               3.0510478            6.425255e-06            3.783038e-12   search-51/
            -0.011864761               5.9198749               3.1510497           3.8817766e-06           8.8648705e-12   search-52/
            -0.010864968               5.6106464               3.2510504           2.1349972e-06           9.8534873e-12   search-53/
           -0.0098651526               5.3288811               3.3510508           1.2188472e-06           9.4088233e-12   search-54/
           -0.0088653212                5.074408                3.451051           7.7114638e-07           7.0067309e-12   search-55/
           -0.0078654789               4.8471096               3.5510511            5.339969e-07           4.4947954e-12   search-56/
           -0.0068656297               4.6469011               3.6510511           4.0666578e-07           9.6715001e-12   search-57/
           -0.0058657777               4.4737189               3.7510512           3.4466069e-07           4.3408875e-12   search-58/
           -0.0048659272               4.3275136               3.8510512           3.2847196e-07           2.1321499e-12   search-59/
           -0.0038660839               4.2082459               3.9510512           3.5298413e-07           1.8546401e-12   search-60/
           -0.0028662573               4.1158841               4.0510513           4.2635128e-07           8.1564805e-12   search-61/
           -0.0018664674               4.0504014               4.1510514           5.8209782e-07           1.4010082e-12   search-62/
          -0.00086677974               4.0117747                4.251052           9.3663622e-07           1.7645497e-13   search-63/
           0.00013203657               4.0002324               4.3510545           2.1262482e-06           4.5088061e-13   search-64/
           0.00077449393               4.0079979               4.4153002           1.2086954e-05           2.0540156e-12   search-65/
            0.0017002086               4.0385428               4.5078717           1.2699421e-05           7.0269572e-12   search-66/
            0.0027002086                4.097215               4.6078717           4.1379436e-11           1.4360455e-15   search-67/
            0.0037002086               4.1825539               4.7078717            4.232876e-11           6.1922965e-16   search-68/
