            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
    0.00851766             0             0    0.00851766    0.00809613   7.25506e-05             0    0.00192714     0.0231257     0.0173442   -0.00578142    0.00158646
    0.00915174             0             0    0.00915174    0.00814215   8.37543e-05             0    0.00304285     0.0365142     0.0273857   -0.00912856    0.00183116
    0.00818309             0             0    0.00818309    0.00810602   6.69629e-05             0   0.000815909    0.00979091    0.00734318   -0.00244773     0.0014649
    0.00835632             0             0    0.00835632    0.00832786   6.98281e-05             0   0.000501749    0.00602098    0.00451574   -0.00150525    0.00152749
    0.00825786             0             0    0.00825786    0.00822941   6.81923e-05             0   0.000498753    0.00598504    0.00448878   -0.00149626     0.0014919
    0.00818309             0             0    0.00818309    0.00810602   6.69629e-05             0   0.000815909    0.00979091    0.00734318   -0.00244773     0.0014649
    0.00818948             0             0    0.00818948    0.00811237   6.70675e-05             0   0.000816443    0.00979732    0.00734799   -0.00244933    0.00146718
    0.00835074             0             0    0.00835074    0.00832229   6.97349e-05             0   0.000501546    0.00601855    0.00451392   -0.00150464    0.00152544
    0.00818948             0             0    0.00818948    0.00811237   6.70675e-05             0   0.000816443    0.00979732    0.00734799   -0.00244933    0.00146718
    0.00836777             0             0    0.00836777    0.00833894   7.00196e-05             0   0.000505407    0.00606489    0.00454866   -0.00151622    0.00153174
    0.00825674             0             0    0.00825674    0.00822818   6.81738e-05             0   0.000499683     0.0059962    0.00449715   -0.00149905    0.00149147
    0.00824816             0             0    0.00824816    0.00821969   6.80321e-05             0   0.000498645    0.00598373     0.0044878   -0.00149593    0.00148838
    0.00818733             0             0    0.00818733    0.00811041   6.70324e-05             0   0.000815336    0.00978404    0.00733803   -0.00244601    0.00146642
     0.0083783             0             0     0.0083783    0.00834934   7.01959e-05             0   0.000506816    0.00608179    0.00456134   -0.00152045    0.00153561
    0.00818733             0             0    0.00818733    0.00811041   6.70324e-05             0   0.000815336    0.00978404    0.00733803   -0.00244601    0.00146642
    0.00812742             0             0    0.00812742     0.0080989   6.60549e-05             0   0.000495367    0.00594441    0.00445831    -0.0014861    0.00144527
    0.00822409             0             0    0.00822409    0.00819392   6.76357e-05             0    0.00051249    0.00614989    0.00461241   -0.00153747    0.00147987
    0.00816511             0             0    0.00816511    0.00813702   6.66689e-05             0   0.000492761    0.00591313    0.00443485   -0.00147828     0.0014587
    0.00824127             0             0    0.00824127    0.00821234   6.79185e-05             0   0.000502443    0.00602932    0.00452199   -0.00150733    0.00148605
    0.00818733             0             0    0.00818733    0.00811041   6.70324e-05             0   0.000815336    0.00978404    0.00733803   -0.00244601    0.00146642
     0.0083783             0             0     0.0083783    0.00834934   7.01959e-05             0   0.000506816    0.00608179    0.00456134   -0.00152045    0.00153561
    0.00826249             0             0    0.00826249    0.00823386   6.82687e-05             0   0.000500407    0.00600488    0.00450366   -0.00150122    0.00149355
    0.00825457             0             0    0.00825457    0.00822603   6.81379e-05             0   0.000499448    0.00599337    0.00449503   -0.00149834     0.0014907
