            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
    0.00818733             0             0    0.00818733    0.00811041   6.70324e-05             0   0.000815336    0.00978404    0.00733803   -0.00244601    0.00146642
    0.00837812             0             0    0.00837812    0.00834916   7.01928e-05             0   0.000506783    0.00608139    0.00456104   -0.00152035    0.00153554
    0.00826269             0             0    0.00826269    0.00823406    6.8272e-05             0   0.000500423    0.00600507     0.0045038   -0.00150127    0.00149362
    0.00825458             0             0    0.00825458    0.00822604   6.81381e-05             0   0.000499455    0.00599346    0.00449509   -0.00149836     0.0014907
    0.00818733             0             0    0.00818733    0.00811041   6.70324e-05             0   0.000815336    0.00978404    0.00733803   -0.00244601    0.00146642
    0.00816678             0             0    0.00816678    0.00811041   6.66964e-05             0   0.000697547    0.00837057    0.00627793   -0.00209264    0.00145915
    0.00818733             0             0    0.00818733    0.00811041   6.70324e-05             0   0.000815336    0.00978404    0.00733803   -0.00244601    0.00146642
    0.00818733             0             0    0.00818733    0.00811041   6.70324e-05             0   0.000815336    0.00978404    0.00733803   -0.00244601    0.00146642
    0.00818733             0             0    0.00818733    0.00811041   6.70324e-05             0   0.000815336    0.00978404    0.00733803   -0.00244601    0.00146642
    0.00818733             0             0    0.00818733    0.00811041   6.70324e-05             0   0.000815336    0.00978404    0.00733803   -0.00244601    0.00146642
    0.00818733             0             0    0.00818733    0.00811041   6.70324e-05             0   0.000815336    0.00978404    0.00733803   -0.00244601    0.00146642
    0.00818733             0             0    0.00818733    0.00811041   6.70324e-05             0   0.000815336    0.00978404    0.00733803   -0.00244601    0.00146642
   3.29886e-15             0             0   3.29886e-15   3.28923e-15   1.08825e-29             0             0   2.20196e-15   1.65147e-15  -5.50489e-16   2.37459e-28
      0.453206             0             0      0.453206      0.453206      0.205396             0  -9.62465e-05    0.00115496   0.000866219   -0.00028874       4.49536
      0.453173             0             0      0.453173      0.453173      0.205366             0  -0.000568413    0.00682095    0.00511571   -0.00170524       4.44543
      0.453173             0             0      0.453173      0.453173      0.205366             0  -0.000568413    0.00682095    0.00511571   -0.00170524       4.44543
      0.453213             0             0      0.453213      0.453213      0.205402             0  -0.000568413    0.00682095    0.00511571   -0.00170524       4.44622
       0.45321             0             0       0.45321      0.453209      0.205399             0   -0.00056842    0.00682104    0.00511578   -0.00170526       4.44614
      0.453217             0             0      0.453217      0.453216      0.205406             0  -0.000568345    0.00682014    0.00511511   -0.00170504       4.44629
      0.453217             0             0      0.453217      0.453216      0.205406             0  -0.000570674    0.00684808    0.00513606   -0.00171202       4.44629
      0.453217             0             0      0.453217      0.453216      0.205405             0  -0.000571427    0.00685712    0.00514284   -0.00171428       4.44628
      0.453173             0             0      0.453173      0.453173      0.205366             0  -0.000568413    0.00682095    0.00511571   -0.00170524       4.44543
      0.453114             0             0      0.453114      0.453114      0.205313             0  -0.000568413    0.00682095    0.00511571   -0.00170524       4.44427
      0.453103             0             0      0.453103      0.453103      0.205303             0  -0.000568416    0.00682099    0.00511574   -0.00170525       4.44406
      0.453098             0             0      0.453098      0.453097      0.205297             0   -0.00057431    0.00689172    0.00516879   -0.00172293       4.44395
      0.433719             0             0      0.433719      0.433719      0.188112             0  -5.68413e-05   0.000682095   0.000511571  -0.000170524       4.07194
      0.430236             0             0      0.430236      0.430235      0.185103             0   0.000462701    0.00555242    0.00416431    -0.0013881       4.00687
      0.433719             0             0      0.433719      0.433719      0.188112             0  -5.68413e-05   0.000682095   0.000511571  -0.000170524       4.07194
      0.433719             0             0      0.433719      0.433719      0.188112             0  -5.68413e-05   0.000682095   0.000511571  -0.000170524       4.07194
      0.433719             0             0      0.433719      0.433719      0.188112             0  -5.68413e-05   0.000682095   0.000511571  -0.000170524       4.07194
      0.427188             0             0      0.427188      0.427185       0.18249             0    0.00112206     0.0134647     0.0100985   -0.00336618       3.95059
      0.433719             0             0      0.433719      0.433719      0.188112             0  -5.68413e-05   0.000682095   0.000511571  -0.000170524       4.07194
      0.433719             0             0      0.433719      0.433719      0.188112             0  -5.68413e-05   0.000682095   0.000511571  -0.000170524       4.07194
      0.433719             0             0      0.433719      0.433719      0.188112             0  -5.68413e-05   0.000682095   0.000511571  -0.000170524       4.07194
      0.433719             0             0      0.433719      0.433719      0.188112             0  -5.68413e-05   0.000682095   0.000511571  -0.000170524       4.07194
      0.433719             0             0      0.433719      0.433719      0.188112             0  -5.68413e-05   0.000682095   0.000511571  -0.000170524       4.07194
      0.453173             0             0      0.453173      0.453173      0.205366             0  -0.000568413    0.00682095    0.00511571   -0.00170524       4.44543
      0.453173             0             0      0.453173      0.453173      0.205366             0  -0.000568413    0.00682095    0.00511571   -0.00170524       4.44543
      0.453173             0             0      0.453173      0.453173      0.205366             0  -0.000568413    0.00682095    0.00511571   -0.00170524       4.44543
      0.453173             0             0      0.453173      0.453173      0.205366             0  -0.000568413    0.00682095    0.00511571   -0.00170524       4.44543
      0.474823             0             0      0.474823       0.47482      0.225457             0   -0.00113683     0.0136419     0.0102314   -0.00341048       4.88034
      0.539944             0             0      0.539944       0.53993      0.291539             0   -0.00284206     0.0341048     0.0255786   -0.00852619       6.31086
      0.539944             0             0      0.539944       0.53993      0.291539             0   -0.00284206     0.0341048     0.0255786   -0.00852619       6.31086
      0.539944             0             0      0.539944       0.53993      0.291539             0   -0.00284206     0.0341048     0.0255786   -0.00852619       6.31086
      0.433719             0             0      0.433719      0.433719      0.188112             0  -5.68413e-05   0.000682095   0.000511571  -0.000170524       4.07194
      0.433658             0             0      0.433658      0.433658      0.188059             0  -5.68425e-05    0.00068211   0.000511582  -0.000170527        4.0708
      0.433635             0             0      0.433635      0.433635      0.188039             0  -5.78648e-05   0.000694378   0.000520783  -0.000173594       4.07036
      0.433634             0             0      0.433634      0.433634      0.188039             0  -6.20149e-05   0.000744179   0.000558134  -0.000186045       4.07035
      0.433719             0             0      0.433719      0.433719      0.188112             0  -5.68413e-05   0.000682095   0.000511571  -0.000170524       4.07194
      0.433658             0             0      0.433658      0.433658      0.188059             0  -5.68425e-05    0.00068211   0.000511582  -0.000170527        4.0708
      0.433719             0             0      0.433719      0.433719      0.188112             0  -5.68413e-05   0.000682095   0.000511571  -0.000170524       4.07194
      0.433658             0             0      0.433658      0.433658      0.188059             0  -5.68425e-05    0.00068211   0.000511582  -0.000170527        4.0708
      0.433635             0             0      0.433635      0.433635      0.188039             0  -5.78308e-05    0.00069397   0.000520478  -0.000173493       4.07036
      0.433634             0             0      0.433634      0.433634      0.188039             0  -5.75242e-05    0.00069029   0.000517718  -0.000172573       4.07035
      0.433719             0             0      0.433719      0.433719      0.188112             0  -5.68413e-05   0.000682095   0.000511571  -0.000170524       4.07194
      0.427188             0             0      0.427188      0.427185       0.18249             0    0.00112206     0.0134647     0.0100985   -0.00336618       3.95059
      0.433719             0             0      0.433719      0.433719      0.188112             0  -5.68413e-05   0.000682095   0.000511571  -0.000170524       4.07194
      0.430236             0             0      0.430236      0.430235      0.185103             0   0.000462701    0.00555242    0.00416431    -0.0013881       4.00687
      0.433719             0             0      0.433719      0.433719      0.188112             0  -5.68413e-05   0.000682095   0.000511571  -0.000170524       4.07194
      0.431366             0             0      0.431366      0.431364      0.186077             0   -0.00102315     0.0122778    0.00920835   -0.00306945       4.02794
      0.433719             0             0      0.433719      0.433719      0.188112             0  -5.68413e-05   0.000682095   0.000511571  -0.000170524       4.07194
      0.431366             0             0      0.431366      0.431364      0.186077             0   -0.00102315     0.0122778    0.00920835   -0.00306945       4.02794
      0.420585             0             0      0.420585      0.420583      0.176892             0   -0.00110057     0.0132068     0.0099051    -0.0033017       3.82921
      0.418623             0             0      0.418623      0.418618      0.175245             0   -0.00147053     0.0176463     0.0132348   -0.00441158       3.79384
      0.431559             0             0      0.431559      0.431559      0.186243             0             0   1.48694e-16   1.11521e-16  -3.71736e-17       4.03149
       0.30725             0             0       0.30725       0.30725     0.0944024             0  -4.76877e-07   5.72252e-06   4.29189e-06  -1.43063e-06       2.04347
      0.124161             0             0      0.124161      0.124161     0.0154161             0  -5.69064e-07   6.82877e-06   5.12158e-06  -1.70719e-06      0.333702
     0.0302794             0             0     0.0302794     0.0302794    0.00091684             0   -5.1446e-07   6.17351e-06   4.63014e-06  -1.54338e-06     0.0198462
    0.00164335             0             0    0.00164335    0.00164335   2.70058e-06             0  -5.17299e-07   6.20759e-06   4.65569e-06   -1.5519e-06   5.84579e-05
   0.000914276             0             0   0.000914276   0.000914276   8.35901e-07             0  -5.65598e-07   6.78718e-06   5.09038e-06  -1.69679e-06   1.81296e-05
   0.000908289             0             0   0.000908289   0.000908289    8.2499e-07             0  -5.31724e-07   6.38069e-06   4.78552e-06  -1.59517e-06    1.7894e-05
      0.431559             0             0      0.431559      0.431559      0.186243             0             0   1.48694e-16   1.11521e-16  -3.71736e-17       4.03149
      0.431559             0             0      0.431559      0.431559      0.186243             0             0   1.48694e-16   1.11521e-16  -3.71736e-17       4.03149
       0.30725             0             0       0.30725       0.30725     0.0944024             0  -4.76877e-07   5.72252e-06   4.29189e-06  -1.43063e-06       2.04347
      0.124161             0             0      0.124161      0.124161     0.0154161             0  -5.69064e-07   6.82877e-06   5.12158e-06  -1.70719e-06      0.333702
     0.0302794             0             0     0.0302794     0.0302794    0.00091684             0   -5.1446e-07   6.17351e-06   4.63014e-06  -1.54338e-06     0.0198462
    0.00164335             0             0    0.00164335    0.00164335   2.70058e-06             0  -5.17299e-07   6.20759e-06   4.65569e-06   -1.5519e-06   5.84579e-05
   0.000914276             0             0   0.000914276   0.000914276   8.35901e-07             0  -5.65598e-07   6.78718e-06   5.09038e-06  -1.69679e-06   1.81296e-05
