            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.058802             0   2.26493e-35      0.058802      0.052193    0.00345767             0    0.00922395      0.792759     0.0927351     -0.700024      0.865995
     0.0588061   1.01025e-49   1.37576e-33     0.0588061     0.0522005    0.00345816             0    0.00922204      0.792595      0.092716     -0.699879      0.866116
     0.0602451   6.45745e-50   4.96967e-34     0.0602451     0.0533522    0.00362947             0    0.00952972      0.819038     0.0958092     -0.723229      0.909018
     0.0602414   6.28486e-51   6.50398e-35     0.0602414     0.0533493    0.00362903             0    0.00952894      0.818971     0.0958015      -0.72317      0.908909
     0.0602412   1.03393e-51   4.02219e-35     0.0602412     0.0533492      0.003629             0     0.0095289      0.818967      0.095801     -0.723166      0.908902
     0.0602412   1.45833e-51    4.8997e-35     0.0602412     0.0533492    0.00362901             0     0.0095289      0.818968      0.095801     -0.723167      0.908902
     0.0602412   1.32133e-51    2.2743e-35     0.0602412     0.0533492    0.00362901             0     0.0095289      0.818968      0.095801     -0.723167      0.908902
      0.058802             0   6.73775e-36      0.058802      0.052193    0.00345767             0    0.00922395      0.792759     0.0927351     -0.700024      0.865995
     0.0588061   8.97193e-50   7.42241e-33     0.0588061     0.0522005    0.00345816             0    0.00922204      0.792595      0.092716     -0.699879      0.866116
      0.058802             0   6.73775e-36      0.058802      0.052193    0.00345767             0    0.00922395      0.792759     0.0927351     -0.700024      0.865995
     0.0588061   8.97193e-50   7.42241e-33     0.0588061     0.0522005    0.00345816             0    0.00922204      0.792595      0.092716     -0.699879      0.866116
     0.0602451    1.2581e-49   2.65347e-33     0.0602451     0.0533522    0.00362947             0    0.00952972      0.819038     0.0958092     -0.723229      0.909018
     0.0602414   1.60122e-50   2.13124e-34     0.0602414     0.0533493    0.00362903             0    0.00952894      0.818971     0.0958015      -0.72317      0.908909
     0.0602412    7.0529e-51   7.48352e-35     0.0602412     0.0533492      0.003629             0     0.0095289      0.818967      0.095801     -0.723166      0.908902
     0.0602412   4.70064e-51   4.69822e-35     0.0602412     0.0533492    0.00362901             0     0.0095289      0.818968      0.095801     -0.723167      0.908902
     0.0602412    2.5276e-51   3.43601e-35     0.0602412     0.0533492    0.00362901             0     0.0095289      0.818968      0.095801     -0.723167      0.908902
      0.058802             0   2.26493e-35      0.058802      0.052193    0.00345767             0    0.00922395      0.792759     0.0927351     -0.700024      0.865995
     0.0588061   1.01025e-49   1.37576e-33     0.0588061     0.0522005    0.00345816             0    0.00922204      0.792595      0.092716     -0.699879      0.866116
      0.058802             0   2.26493e-35      0.058802      0.052193    0.00345767             0    0.00922395      0.792759     0.0927351     -0.700024      0.865995
     0.0588061   1.01025e-49   1.37576e-33     0.0588061     0.0522005    0.00345816             0    0.00922204      0.792595      0.092716     -0.699879      0.866116
      0.058802             0   2.26493e-35      0.058802      0.052193    0.00345767             0    0.00922395      0.792759     0.0927351     -0.700024      0.865995
     0.0588061   1.01025e-49   1.37576e-33     0.0588061     0.0522005    0.00345816             0    0.00922204      0.792595      0.092716     -0.699879      0.866116
     0.0602451   6.45745e-50   4.96967e-34     0.0602451     0.0533522    0.00362947             0    0.00952972      0.819038     0.0958092     -0.723229      0.909018
     0.0602414   6.28486e-51   6.50398e-35     0.0602414     0.0533493    0.00362903             0    0.00952894      0.818971     0.0958015      -0.72317      0.908909
     0.0602412   1.03393e-51   4.02219e-35     0.0602412     0.0533492      0.003629             0     0.0095289      0.818967      0.095801     -0.723166      0.908902
     0.0602412   1.45833e-51    4.8997e-35     0.0602412     0.0533492    0.00362901             0     0.0095289      0.818968      0.095801     -0.723167      0.908902
     0.0602412   1.32133e-51    2.2743e-35     0.0602412     0.0533492    0.00362901             0     0.0095289      0.818968      0.095801     -0.723167      0.908902
      0.111087             0             0      0.111087     0.0983842     0.0123404             0     0.0375647      0.450776      0.338082     -0.112694      0.269428
      0.146721             0             0      0.146721      0.127624     0.0215271             0     0.0527097      0.632516      0.474387     -0.158129      0.469842
