            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.136195             0   4.11328e-20      0.136195     0.0260786     0.0185492             0      0.078143       1.15333      0.398466     -0.754865      0.715716
      0.136196    3.1136e-52   8.04974e-20      0.136196     0.0260784     0.0185492             0      0.078143       1.15333      0.398466     -0.754866      0.715716
      0.136195   2.99089e-52   8.07842e-20      0.136195     0.0260784     0.0185492             0      0.078143       1.15333      0.398466     -0.754865      0.715715
     0.0937689             0   6.49503e-35     0.0937689     0.0830052    0.00879261             0     0.0254994      0.376351      0.130026     -0.246325      0.340583
     0.0937728   1.02193e-48   2.07535e-32     0.0937728     0.0830094    0.00879334             0     0.0254995      0.376354      0.130027     -0.246327      0.340611
     0.0936672   8.41434e-49   1.82284e-32     0.0936672     0.0829247    0.00877355             0      0.025461      0.375785      0.129831     -0.245955      0.339844
     0.0935616   6.40954e-49   3.48101e-32     0.0935616     0.0828401    0.00875377             0     0.0254225      0.375217      0.129634     -0.245583      0.339079
     0.0934241   2.45221e-49   1.02496e-32     0.0934241     0.0827298    0.00872807             0     0.0253724      0.374477      0.129379     -0.245098      0.338084
     0.0933545   8.69786e-50   1.61222e-33     0.0933545      0.082674    0.00871507             0      0.025347      0.374102      0.129249     -0.244853       0.33758
     0.0933544   1.92851e-50   3.23494e-34     0.0933544     0.0826739    0.00871504             0     0.0253469      0.374101      0.129249     -0.244852      0.337579
      0.289634             0   1.95279e-35      0.289634      0.217045     0.0838878             0      0.112109       1.65464      0.571664      -1.08298       3.24649
      0.289654   1.95155e-51   3.15026e-34      0.289654      0.217053     0.0838995             0      0.112121       1.65482      0.571728       -1.0831       3.24695
      0.289675   4.82059e-46   5.04062e-30      0.289675      0.216575     0.0839118             0      0.112456       1.65976      0.573433      -1.08633       3.24737
      0.289681   3.58908e-44   3.98574e-28      0.289681      0.216509     0.0839152             0      0.112504       1.66047      0.573679      -1.08679        3.2475
      0.289702   3.37555e-44   3.63213e-28      0.289702       0.21616      0.083927             0      0.112751       1.66413      0.574941      -1.08918       3.24792
      0.289704   9.27269e-44   7.53583e-28      0.289704      0.216174     0.0839283             0      0.112744       1.66402      0.574904      -1.08911       3.24797
      0.289634             0   4.56666e-36      0.289634      0.217045     0.0838878             0      0.112109       1.65464      0.571664      -1.08298       3.24649
      0.289654    1.0654e-51   1.11877e-33      0.289654      0.217053     0.0838995             0      0.112121       1.65482      0.571728       -1.0831       3.24695
      0.289634             0   4.56666e-36      0.289634      0.217045     0.0838878             0      0.112109       1.65464      0.571664      -1.08298       3.24649
      0.289654    1.0654e-51   1.11877e-33      0.289654      0.217053     0.0838995             0      0.112121       1.65482      0.571728       -1.0831       3.24695
      0.289675   4.63237e-47   1.13752e-30      0.289675      0.216575     0.0839118             0      0.112456       1.65976      0.573433      -1.08633       3.24737
      0.289681   3.17007e-45    2.3205e-29      0.289681      0.216509     0.0839152             0      0.112504       1.66047      0.573679      -1.08679        3.2475
      0.289702    2.5734e-45   2.02904e-29      0.289702       0.21616      0.083927             0      0.112751       1.66412       0.57494      -1.08918       3.24792
      0.289704   1.43401e-44   1.19763e-28      0.289704      0.216174     0.0839283             0      0.112744       1.66401      0.574903      -1.08911       3.24797
      0.289718             0   3.08763e-35      0.289718      0.217056     0.0839363             0      0.112175       1.65562      0.572004      -1.08362       3.24837
      0.289739   1.33638e-51   4.62805e-34      0.289739      0.217065      0.083949             0      0.112189       1.65582      0.572073      -1.08375       3.24886
      0.289757   1.05676e-46   2.45853e-30      0.289757      0.216631     0.0839591             0      0.112491       1.66028      0.573612      -1.08667        3.2492
      0.289763   1.28723e-44   1.63746e-28      0.289763      0.216561     0.0839625             0      0.112542       1.66103      0.573872      -1.08716       3.24933
      0.289796   9.80551e-45   1.38274e-28      0.289796         0.216     0.0839816             0      0.112939       1.66689      0.575896      -1.09099       3.25001
        0.2898   2.10795e-44   1.82902e-28        0.2898      0.215973     0.0839839             0      0.112959       1.66719      0.576002      -1.09119       3.25009
        0.2898   2.28591e-44   1.82952e-28        0.2898      0.215976     0.0839838             0      0.112958       1.66717      0.575993      -1.09118       3.25009
      0.289718             0             0      0.289718      0.217056     0.0839363             0      0.112175       1.65562      0.572004      -1.08362       3.24837
      0.289717   2.40984e-50   2.08629e-33      0.289717      0.217056     0.0839362             0      0.112175       1.65562      0.572004      -1.08362       3.24836
      0.289716   2.93631e-47   3.88206e-31      0.289716      0.217057     0.0839356             0      0.112173        1.6556      0.571994       -1.0836       3.24834
      0.289716   1.55496e-44   1.17443e-28      0.289716       0.21706     0.0839352             0      0.112171       1.65556      0.571983      -1.08358       3.24833
      0.289718             0   3.08763e-35      0.289718      0.217056     0.0839363             0      0.112175       1.65562      0.572004      -1.08362       3.24837
      0.289718   3.26265e-55    6.8775e-35      0.289718      0.217056     0.0839363             0      0.112175       1.65562      0.572004      -1.08362       3.24837
      0.289717   4.95909e-50    2.8384e-33      0.289717      0.217057      0.083936             0      0.112175       1.65561      0.572001      -1.08361       3.24836
      0.289713   9.01035e-48    8.7593e-32      0.289713      0.217076     0.0839335             0      0.112158       1.65537      0.571916      -1.08345       3.24826
      0.107727             0    3.7072e-36      0.107727     0.0945201      0.011605             0     0.0302115      0.445899      0.154054     -0.291845      0.449479
      0.107726   4.16009e-54   1.20054e-35      0.107726     0.0945193     0.0116048             0     0.0302111      0.445893      0.154052     -0.291841       0.44947
      0.107702   6.66211e-50   1.16303e-33      0.107702     0.0945019     0.0115998             0     0.0302016      0.445753      0.154004     -0.291749      0.449278
      0.107702   7.80219e-50   7.90785e-34      0.107702     0.0945012     0.0115996             0     0.0302012      0.445748      0.154002     -0.291746      0.449271
      0.107697   3.13154e-50   2.98238e-34      0.107697     0.0944977     0.0115986             0     0.0301993      0.445719      0.153992     -0.291727      0.449232
      0.107697   4.65526e-51   4.09546e-35      0.107697     0.0944975     0.0115986             0     0.0301992      0.445718      0.153992     -0.291726       0.44923
      0.107696   3.39816e-52   3.39179e-35      0.107696      0.094497     0.0115984             0     0.0301989      0.445714       0.15399     -0.291723      0.449224
      0.107696   3.30285e-51   3.46896e-35      0.107696      0.094497     0.0115984             0     0.0301989      0.445713       0.15399     -0.291723      0.449224
      0.107696   1.08176e-50   3.11309e-34      0.107696     0.0944969     0.0115984             0     0.0301989      0.445713       0.15399     -0.291723      0.449223
      0.107696   1.48348e-50   1.58138e-34      0.107696     0.0944969     0.0115984             0     0.0301989      0.445713       0.15399     -0.291723      0.449222
      0.107696   1.02076e-51   9.33547e-36      0.107696     0.0944969     0.0115984             0     0.0301989      0.445712       0.15399     -0.291723      0.449222
      0.107696   4.39323e-52   4.96952e-35      0.107696     0.0944969     0.0115984             0     0.0301989      0.445712       0.15399     -0.291723      0.449222
      0.107727             0    3.7072e-36      0.107727     0.0945201      0.011605             0     0.0302115      0.445899      0.154054     -0.291845      0.449479
      0.289718             0   3.08763e-35      0.289718      0.217056     0.0839363             0      0.112175       1.65562      0.572004      -1.08362       3.24837
      0.289734   9.09689e-51   3.18224e-34      0.289734      0.217073      0.083946             0      0.112179       1.65567      0.572022      -1.08365       3.24874
      0.289861   2.34986e-46   5.41081e-30      0.289861       0.21503     0.0840192             0      0.113626       1.67703      0.579399      -1.09763       3.25136
      0.289718             0   3.24506e-33      0.289718      0.217056     0.0839363             0      0.112175       1.65562      0.572004      -1.08362       3.24837
      0.289734   3.21423e-49   2.89165e-32      0.289734      0.217073      0.083946             0      0.112179       1.65567      0.572022      -1.08365       3.24874
