      #(P)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
   0.011      0.147708             0             0      0.147708       0.12835     0.0218176             0     0.0532344      0.638813       0.47911     -0.159703      0.476171
    0.01      0.146371             0             0      0.146371      0.127267     0.0214244             0     0.0526516      0.631819      0.473864     -0.157955      0.467596
   0.009       0.14501             0             0       0.14501      0.126164      0.021028             0     0.0520596      0.624715      0.468536     -0.156179      0.458949
0.00800004      0.143625             0             0      0.143625       0.12504     0.0206281             0     0.0514579      0.617495      0.463121     -0.154374      0.450226
0.00700008      0.142213             0             0      0.142213      0.123892     0.0202245             0     0.0508458       0.61015      0.457612     -0.152537      0.441421
0.00600012      0.140772             0             0      0.140772      0.122721     0.0198168             0     0.0502226      0.602671      0.452004     -0.150668      0.432529
0.00500017      0.139301             0             0      0.139301      0.121524     0.0194049             0     0.0495875       0.59505      0.446287     -0.148762      0.423543
0.00400021      0.137798             0             0      0.137798      0.120299     0.0189883             0     0.0489396      0.587275      0.440456     -0.146819      0.414456
0.00300026       0.13626             0             0       0.13626      0.119045     0.0185667             0     0.0482778      0.579334        0.4345     -0.144833       0.40526
0.00200031      0.134684             0             0      0.134684      0.117758     0.0181397             0     0.0476011      0.571213       0.42841     -0.142803      0.395945
0.00100036      0.133067             0             0      0.133067      0.116437     0.0177068             0     0.0469082      0.562898      0.422174     -0.140725      0.386501
4.19483e-07      0.131406             0             0      0.131406      0.115078     0.0172675             0     0.0461975       0.55437      0.415777     -0.138592      0.376916
-0.000999521      0.129696             0             0      0.129696      0.113678     0.0168211             0     0.0454674      0.545609      0.409207     -0.136402      0.367177
-0.00199946      0.127933             0             0      0.127933      0.112233     0.0163668             0     0.0447159      0.536591      0.402443     -0.134148      0.357267
-0.00299939      0.126111             0             0      0.126111      0.110738     0.0159039             0     0.0439407      0.527288      0.395466     -0.131822      0.347168
-0.00399932      0.124223             0             0      0.124223      0.109188     0.0154313             0      0.043139      0.517668      0.388251     -0.129417      0.336857
-0.00499924      0.122261             0             0      0.122261      0.107575     0.0149478             0     0.0423075      0.507691      0.380768     -0.126923      0.326308
-0.00599916      0.120216             0             0      0.120216      0.105892     0.0144518             0     0.0414422      0.497307       0.37298     -0.124327      0.315487
-0.00699907      0.118074             0             0      0.118074      0.104128     0.0139415             0     0.0405381      0.486457      0.364843     -0.121614      0.304355
-0.00799896      0.115822             0             0      0.115822       0.10227     0.0134146             0     0.0395888      0.475065      0.356299     -0.118766      0.292859
-0.00899885      0.113437             0             0      0.113437      0.100302      0.012868             0      0.038586      0.463032      0.347274     -0.115758      0.280932
-0.00999872      0.110894             0             0      0.110894     0.0981994     0.0122976             0     0.0375188      0.450225      0.337669     -0.112556      0.268485
-0.0109986      0.108155             0             0      0.108155      0.095932     0.0116976             0     0.0363717       0.43646      0.327345     -0.109115      0.255393
-0.0119984      0.105165             0             0      0.105165     0.0934528     0.0110596             0     0.0351221      0.421466      0.316099     -0.105366      0.241472
-0.0129982      0.101835             0             0      0.101835     0.0906884     0.0103704             0     0.0337346      0.404815      0.303612     -0.101204      0.226433
-0.0139979      0.098014             0             0      0.098014     0.0875101    0.00960674             0     0.0321468      0.385762      0.289321    -0.0964405       0.20977
-0.0149975      0.093382             0             0      0.093382     0.0836485    0.00872021             0     0.0302288      0.362746      0.272059    -0.0906864      0.190423
-0.0159967     0.0869716             0             0     0.0869716     0.0782875    0.00756405             0     0.0275872      0.331046      0.248284    -0.0827615      0.165191
-0.0164955     0.0815364             0             0     0.0815364     0.0737251    0.00664819             0     0.0253603      0.304324      0.228243     -0.076081      0.145201
-0.0166196     0.0790048             0             0     0.0790048     0.0715942    0.00624176             0     0.0243277      0.291932      0.218949    -0.0729831       0.13633
-0.0166649     0.0772826             0             0     0.0772826     0.0701422    0.00597261             0      0.023627      0.283524      0.212643     -0.070881      0.130455
-0.0166747     0.0765399             0             0     0.0765399     0.0695154    0.00585835             0     0.0233253      0.279903      0.209928    -0.0699759      0.127962
-0.0166749     0.0747945             0             0     0.0747945      0.068041    0.00559422             0     0.0226175       0.27141      0.203557    -0.0678524      0.122196
-0.0166619     0.0738642             0             0     0.0738642     0.0672543    0.00545592             0     0.0222409      0.266891      0.200168    -0.0667228      0.119177
-0.0166385     0.0728875             0             0     0.0728875     0.0664276    0.00531259             0     0.0218461      0.262154      0.196615    -0.0655384      0.116048
-0.0165873      0.071481             0             0      0.071481     0.0652359    0.00510953             0     0.0212786      0.255344      0.191508    -0.0638359      0.111616
-0.0164907     0.0696599             0             0     0.0696599     0.0636905     0.0048525             0     0.0205458      0.246549      0.184912    -0.0616374      0.106005
-0.0163371     0.0675589             0             0     0.0675589     0.0619043    0.00456421             0     0.0197032      0.236439      0.177329    -0.0591097      0.099711
-0.0161055     0.0651441             0             0     0.0651441     0.0598464    0.00424375             0     0.0187389      0.224867       0.16865    -0.0562166     0.0927147
-0.0157706     0.0623887             0             0     0.0623887     0.0574915    0.00389235             0     0.0176446      0.211735      0.158801    -0.0529338     0.0850427
-0.0153068     0.0592938             0             0     0.0592938     0.0548369    0.00351576             0      0.016424      0.197088      0.147816    -0.0492721       0.07682
-0.014684     0.0558437             0             0     0.0558437     0.0518647    0.00311852             0     0.0150757      0.180908      0.135681    -0.0452271      0.068146
-0.0138642     0.0519965             0             0     0.0519965      0.048532    0.00270364             0     0.0135902      0.163082      0.122312    -0.0407705     0.0590857
-0.0128645     0.0479346             0             0     0.0479346     0.0449897    0.00229773             0     0.0120465      0.144558      0.108419    -0.0361395     0.0502205
-0.0118648     0.0443049             0             0     0.0443049     0.0418008    0.00196293             0     0.0106932      0.128318     0.0962385    -0.0320795     0.0429075
-0.010865     0.0409614             0             0     0.0409614      0.038841    0.00167783             0    0.00947276      0.113673     0.0852549    -0.0284183     0.0366793
-0.00986515     0.0378153             0             0     0.0378153     0.0360342       0.00143             0    0.00835197      0.100224     0.0751677    -0.0250559     0.0312646
-0.00886532     0.0348059             0             0     0.0348059     0.0333272    0.00121145             0    0.00730938     0.0877125     0.0657844    -0.0219281      0.026489
-0.00786548     0.0318856             0             0     0.0318856     0.0306778    0.00101669             0    0.00633029     0.0759635     0.0569726    -0.0189909     0.0222328
-0.00686563     0.0290133             0             0     0.0290133     0.0280482    0.00084177             0    0.00540409     0.0648491     0.0486368    -0.0162123     0.0184095
-0.00586578     0.0261478             0             0     0.0261478     0.0253995   0.000683708             0    0.00452282     0.0542738     0.0407053    -0.0135684     0.0149542
-0.00486593     0.0232425             0             0     0.0232425     0.0226864   0.000540213             0    0.00368031     0.0441637     0.0331228    -0.0110409     0.0118169
-0.00386608     0.0202353             0             0     0.0202353     0.0198473   0.000409467             0     0.0028717     0.0344604     0.0258453   -0.00861509    0.00895785
-0.00286626     0.0170294             0             0     0.0170294     0.0167851   0.000290001             0    0.00209306     0.0251167     0.0188375   -0.00627917      0.006345
-0.00186647     0.0134392             0             0     0.0134392     0.0133124   0.000180612             0    0.00134116     0.0160939     0.0120705   -0.00402349    0.00395208
-0.00086678    0.00896095             0             0    0.00896095    0.00892128   8.02986e-05             0   0.000613365    0.00736038    0.00552028   -0.00184009    0.00175727
0.000132037   5.19714e-09             0             0   5.19714e-09   5.19704e-09   2.70103e-17             0  -2.33089e-11   2.79707e-10    2.0978e-10  -6.99267e-11   5.91157e-16
0.000774494   4.65105e-09             0             0   4.65105e-09   4.65099e-09   2.16322e-17             0  -1.71394e-11   2.05673e-10   1.54255e-10  -5.14182e-11   4.73451e-16
