      #(P)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
  -0.012     0.0241167             0             0     0.0241167     0.0238769   0.000581617             0    0.00247082     0.0296498     0.0222374   -0.00741246     0.0126983
  -0.013     0.0258398             0             0     0.0258398      0.025538   0.000667694             0    0.00286756     0.0344107      0.025808   -0.00860267     0.0145801
  -0.014     0.0279717             0             0     0.0279717     0.0276014   0.000782415             0    0.00330328     0.0396394     0.0297296   -0.00990985     0.0170858
-0.0142986     0.0291064             0             0     0.0291064     0.0287034   0.000847184             0    0.00351519     0.0421823     0.0316367    -0.0105456     0.0184996
-0.0144291     0.0299345             0             0     0.0299345     0.0295082   0.000896075             0    0.00366576     0.0439891     0.0329918    -0.0109973     0.0195666
-0.0144941      0.030739             0             0      0.030739     0.0302904   0.000944885             0    0.00381019     0.0457222     0.0342917    -0.0114306     0.0206318
-0.0145021     0.0309515             0             0     0.0309515     0.0304971   0.000957996             0    0.00384816      0.046178     0.0346335    -0.0115445     0.0209179
-0.0145057     0.0311755             0             0     0.0311755     0.0307149   0.000971914             0    0.00388821     0.0466585     0.0349939    -0.0116646     0.0212216
-0.014506     0.0312968             0             0     0.0312968     0.0308328   0.000979487             0    0.00390988     0.0469186      0.035189    -0.0117297     0.0213868
-0.0145039     0.0314962             0             0     0.0314962     0.0310267   0.000992012             0    0.00394552     0.0473463     0.0355097    -0.0118366     0.0216601
-0.014498     0.0317214             0             0     0.0317214     0.0312456    0.00100625             0    0.00398574     0.0478289     0.0358717    -0.0119572     0.0219707
-0.0144908      0.031896             0             0      0.031896     0.0314154    0.00101735             0    0.00401694     0.0482033     0.0361525    -0.0120508      0.022213
-0.0144759      0.032149             0             0      0.032149     0.0316613    0.00103356             0     0.0040622     0.0487463     0.0365598    -0.0121866     0.0225666
-0.0144455     0.0325198             0             0     0.0325198     0.0320218    0.00105754             0    0.00412859      0.049543     0.0371573    -0.0123858     0.0230898
-0.0143846     0.0330528             0             0     0.0330528     0.0325397    0.00109249             0     0.0042244     0.0506928     0.0380196    -0.0126732     0.0238523
-0.0142631     0.0338179             0             0     0.0338179      0.033283    0.00114365             0    0.00436281     0.0523537     0.0392653    -0.0130884     0.0249687
-0.0140798     0.0346827             0             0     0.0346827     0.0341225    0.00120289             0    0.00452144     0.0542572     0.0406929    -0.0135643     0.0262611
-0.0138996     0.0353788             0             0     0.0353788     0.0347974    0.00125166             0    0.00465165     0.0558198     0.0418649     -0.013955     0.0273251
-0.0137468     0.0359034             0             0     0.0359034     0.0353056    0.00128905             0    0.00475118     0.0570141     0.0427606    -0.0142535     0.0281408
-0.0135935      0.036388             0             0      0.036388     0.0357747    0.00132409             0    0.00484491      0.058139     0.0436042    -0.0145347     0.0289053
-0.0134354      0.036859             0             0      0.036859     0.0362299    0.00135859             0    0.00493813     0.0592575     0.0444431    -0.0148144     0.0296579
-0.0133021     0.0372389             0             0     0.0372389     0.0365967    0.00138674             0     0.0050148     0.0601776     0.0451332    -0.0150444     0.0302721
-0.0131794     0.0375794             0             0     0.0375794      0.036925    0.00141221             0    0.00508505     0.0610207     0.0457655    -0.0152552      0.030828
-0.0130632     0.0378972             0             0     0.0378972     0.0372309     0.0014362             0    0.00515218     0.0618261     0.0463696    -0.0154565     0.0313513
-0.012952     0.0382003             0             0     0.0382003     0.0375223    0.00145926             0    0.00521788     0.0626146     0.0469609    -0.0156536     0.0318547
-0.0128441     0.0384975             0             0     0.0384975     0.0378074    0.00148205             0    0.00528424     0.0634109     0.0475582    -0.0158527     0.0323521
-0.0127381      0.038797             0             0      0.038797     0.0380941    0.00150521             0    0.00535353     0.0642424     0.0481818    -0.0160606     0.0328574
-0.0126329     0.0391126             0             0     0.0391126     0.0383953     0.0015298             0    0.00543004     0.0651605     0.0488704    -0.0162901     0.0333942
-0.0125277      0.039468             0             0      0.039468     0.0387329    0.00155772             0    0.00552152     0.0662582     0.0496937    -0.0165646     0.0340039
-0.0124798     0.0396687             0             0     0.0396687     0.0389224     0.0015736             0    0.00557702     0.0669242     0.0501932    -0.0167311     0.0343507
-0.0124442     0.0398656             0             0     0.0398656     0.0391074    0.00158927             0    0.00563512     0.0676215     0.0507161    -0.0169054     0.0346929
-0.0124277     0.0400228             0             0     0.0400228     0.0392543    0.00160183             0    0.00568435     0.0682122     0.0511592    -0.0170531     0.0349673
-0.0124249     0.0400959             0             0     0.0400959     0.0393221    0.00160768             0    0.00570863     0.0685036     0.0513777    -0.0171259     0.0350951
-0.0124257     0.0401228             0             0     0.0401228      0.039347    0.00160984             0    0.00571813     0.0686175     0.0514631    -0.0171544     0.0351424
