      #(P)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
  -0.001    0.00684312             0             0    0.00684312    0.00682575   4.68283e-05             0   0.000354861    0.00425833    0.00319375   -0.00106458     0.0010247
  -0.002    0.00825457             0             0    0.00825457    0.00822603   6.81379e-05             0   0.000499448    0.00599337    0.00449503   -0.00149834     0.0014907
  -0.003    0.00932059             0             0    0.00932059    0.00928216   8.68735e-05             0   0.000615771    0.00738926    0.00554194   -0.00184731    0.00190021
 -0.0032    0.00951532             0             0    0.00951532    0.00947498   9.05412e-05             0   0.000637337    0.00764804    0.00573603   -0.00191201    0.00198036
 -0.0034    0.00970654             0             0    0.00970654     0.0096643    9.4217e-05             0   0.000658745    0.00790494     0.0059287   -0.00197623    0.00206068
 -0.0036    0.00989521             0             0    0.00989521    0.00985107   9.79152e-05             0   0.000679908    0.00815889    0.00611917   -0.00203972    0.00214149
 -0.0038     0.0100815             0             0     0.0100815     0.0100355   0.000101637             0   0.000700927    0.00841112    0.00630834   -0.00210278    0.00222281
  -0.004     0.0102651             0             0     0.0102651     0.0102172   0.000105373             0   0.000721802    0.00866162    0.00649621    -0.0021654    0.00230442
 -0.0042     0.0104494             0             0     0.0104494     0.0103995    0.00010919             0   0.000742761    0.00891313    0.00668485   -0.00222828    0.00238782
 -0.0044     0.0106318             0             0     0.0106318       0.01058   0.000113036             0   0.000763631    0.00916357    0.00687268   -0.00229089    0.00247182
 -0.0046     0.0108135             0             0     0.0108135     0.0107597   0.000116933             0   0.000784483    0.00941379    0.00706034   -0.00235345    0.00255695
 -0.0048     0.0109944             0             0     0.0109944     0.0109386   0.000120876             0   0.000805316    0.00966379    0.00724784   -0.00241595    0.00264308
  -0.005     0.0111761             0             0     0.0111761     0.0111184   0.000124906             0   0.000826462    0.00991754    0.00743815   -0.00247938    0.00273111
 -0.0052     0.0113575             0             0     0.0113575     0.0112977   0.000128992             0   0.000847553     0.0101706    0.00762798   -0.00254266    0.00282037
 -0.0054     0.0115391             0             0     0.0115391     0.0114773   0.000133151             0   0.000868803     0.0104256    0.00781923   -0.00260641     0.0029112
 -0.0056     0.0117209             0             0     0.0117209      0.011657   0.000137379             0    0.00089021     0.0106825    0.00801189   -0.00267063    0.00300354
 -0.0058      0.011904             0             0      0.011904      0.011838   0.000141706             0   0.000911738     0.0109409    0.00820564   -0.00273521    0.00309804
  -0.006     0.0120876             0             0     0.0120876     0.0120194    0.00014611             0   0.000933479     0.0112018    0.00840132   -0.00280044    0.00319421
 -0.0062     0.0122715             0             0     0.0122715     0.0122011   0.000150589             0   0.000955435     0.0114652    0.00859891    -0.0028663    0.00329202
