      #(P)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
  -0.001    0.00684341             0             0    0.00684341    0.00682603   4.68322e-05             0   0.000354876    0.00425851    0.00319389   -0.00106463    0.00102478
  -0.002    0.00824816             0             0    0.00824816    0.00821969   6.80321e-05             0   0.000498645    0.00598373     0.0044878   -0.00149593    0.00148838
  -0.003    0.00925058             0             0    0.00925058    0.00921307   8.55733e-05             0   0.000606091    0.00727309    0.00545482   -0.00181827    0.00187175
 -0.0032    0.00941816             0             0    0.00941816    0.00937914   8.87017e-05             0   0.000623651    0.00748381    0.00561286   -0.00187095    0.00194008
 -0.0034    0.00957773             0             0    0.00957773    0.00953728   9.17328e-05             0   0.000640261    0.00768313    0.00576235   -0.00192078    0.00200629
 -0.0036    0.00972898             0             0    0.00972898    0.00968719    9.4653e-05             0    0.00065592    0.00787104    0.00590328   -0.00196776    0.00207006
 -0.0038    0.00987538             0             0    0.00987538    0.00983235   9.75231e-05             0   0.000670576    0.00804691    0.00603519   -0.00201173    0.00213272
  -0.004     0.0100154             0             0     0.0100154    0.00997124   0.000100309             0   0.000684485    0.00821381    0.00616036   -0.00205345    0.00219354
 -0.0042      0.010151             0             0      0.010151     0.0101057   0.000103042             0   0.000697698    0.00837238    0.00627928   -0.00209309    0.00225319
 -0.0044     0.0102838             0             0     0.0102838     0.0102374   0.000105757             0   0.000710425     0.0085251    0.00639382   -0.00213127    0.00231243
 -0.0046     0.0104144             0             0     0.0104144      0.010367   0.000108459             0   0.000722781    0.00867337    0.00650503   -0.00216834    0.00237139
 -0.0048     0.0105424             0             0     0.0105424      0.010494   0.000111142             0   0.000734766    0.00881719     0.0066129    -0.0022043    0.00242992
  -0.005     0.0106723             0             0     0.0106723     0.0106229   0.000113898             0   0.000746855    0.00896226    0.00672169   -0.00224056    0.00249006
 -0.0052     0.0108016             0             0     0.0108016     0.0107513   0.000116676             0   0.000758766     0.0091052     0.0068289    -0.0022763    0.00255064
 -0.0054     0.0109315             0             0     0.0109315     0.0108802   0.000119498             0    0.00077069    0.00924828    0.00693621   -0.00231207    0.00261222
 -0.0056     0.0110617             0             0     0.0110617     0.0110094   0.000122362             0   0.000782626    0.00939151    0.00704363   -0.00234788    0.00267467
 -0.0058     0.0111953             0             0     0.0111953      0.011142   0.000125335             0   0.000794925    0.00953909    0.00715432   -0.00238477    0.00273953
